name;openinggross;theathers;tconst;titleType;originalTitle;isAdult;startYear;runtimeMinutes;genres;director_identifier;primaryName;primaryProfession;knownForTitles
The Batman;$134,008,624;4,417;tt1877830;movie;The Batman;FALSE;2022;176;Action,Crime,Drama;nm0716257;Matt Reeves;producer,writer,director;tt1228987,tt3450958,tt1877830,tt2103281
Suicide Squad;$133,682,248;4,255;tt0027057;movie;Suicide Squad;FALSE;1935;58;Action,Drama,Romance;nm1262881;Raymond K. Johnson;director,writer,camera_department;tt0026563,tt0329531,tt0029596,tt0027008
Deadpool;$132,434,639;3,558;tt1431045;movie;Deadpool;FALSE;2016;108;Action,Comedy;nm1783265;Tim Miller;producer,writer,director;tt1431045,tt9561862,tt0425410,tt6450804
Frozen II;$130,263,358;4,440;tt4520988;movie;Frozen II;FALSE;2019;103;Adventure,Animation,Comedy;nm0118333,nm1601644;NA;NA;NA
Iron Man 2;$128,122,480;4,380;tt1228705;movie;Iron Man 2;FALSE;2010;124;Action,Sci-Fi;nm0269463;Jon Favreau;producer,actor,writer;tt8111088,tt2883512,tt0371746,tt0117802
Top Gun: Maverick;$126,707,459;4,735;tt1745960;movie;Top Gun: Maverick;FALSE;2022;130;Action,Drama;nm2676052;Joseph Kosinski;director,producer,writer;tt1745960,tt1104001,tt3829920,tt1483013
Deadpool 2;$125,507,153;4,349;tt5463162;movie;Deadpool 2;FALSE;2018;119;Action,Adventure,Comedy;nm0500610;David Leitch;stunts,producer,actor;tt6806448,tt2911666,tt12593682,tt2406566
Harry Potter and the Deathly Hallows: Part 1;$125,017,372;4,125;tt0926084;movie;Harry Potter and the Deathly Hallows - Part 1;FALSE;2010;146;Adventure,Family,Fantasy;nm0946734;David Yates;director,producer,writer;tt0373889,tt0918940,tt0926084,tt1201607
It;$123,403,419;4,103;tt0018033;movie;It;FALSE;1927;72;Comedy,Romance;nm0903049,nm0046082;NA;NA;NA
Thor: Ragnarok;$122,744,989;4,080;tt3501632;movie;Thor: Ragnarok;FALSE;2017;130;Action,Adventure,Comedy;nm0169806;Taika Waititi;producer,writer,actor;tt2584384,tt4698684,tt1560139,tt3416742
The Hunger Games: Mockingjay - Part 1;$121,897,634;4,151;tt1951265;movie;The Hunger Games: Mockingjay - Part 1;FALSE;2014;123;Action,Adventure,Sci-Fi;nm1349376;Francis Lawrence;director,producer,camera_department;tt0360486,tt1951265,tt0480249,tt1951264
Shrek the Third;$121,629,270;4,122;tt0413267;movie;Shrek the Third;FALSE;2007;93;Adventure,Animation,Comedy;nm1844237,nm0401203;NA;NA;NA
Toy Story 4;$120,908,065;4,575;tt1979376;movie;Toy Story 4;FALSE;2019;100;Adventure,Animation,Comedy;nm2155757;Josh Cooley;actor,writer,director;tt2096673,tt1979376,tt1216475,tt1049413
