movie;openinggross;theathers;runtimeMinutes;genres;director_identifier;primaryProfession;runtime_dummy;director_count;directed_above_median
Harry Potter and the Goblet of Fire;102685961;3,858;157;Adventure,Family,Fantasy;nm0001565;director,producer,executive;1;2;0
The Hunger Games: Mockingjay - Part 2;102665981;4,175;137;Action,Adventure,Sci-Fi;nm1349376;director,producer,camera_department;1;5;1
Indiana Jones and the Kingdom of the Crystal Skull;100137835;4,260;122;Action,Adventure;nm0000229;producer,writer,director;1;10;1
Transformers: Age of Extinction;100038390;4,233;165;Action,Adventure,Sci-Fi;nm0000881;producer,director,actor;1;8;1
The Fate of the Furious;98786705;4,310;136;Action,Crime,Thriller;nm0336620;director,producer,actor;1;5;1
Iron Man;98618668;4,105;82;Drama,Film-Noir,Sport;nm0678928;director,actor,producer;0;1;0
Transformers: Dark of the Moon;97852865;4,088;154;Action,Adventure,Sci-Fi;nm0000881;producer,director,actor;1;8;1
Fast & Furious 6;97375245;3,658;130;Action,Adventure,Crime;nm0510912;producer,director,writer;1;6;1
Joker;96202337;4,374;108;Comedy,Crime;nm0526265;director,editor,writer;0;1;0
Guardians of the Galaxy;94320883;4,080;121;Action,Adventure,Comedy;nm0348181;writer,producer,director;1;4;1
Justice League;93842239;4,051;120;Action,Adventure,Fantasy;nm0811583;director,producer,writer;1;4;1
Harry Potter and the Prisoner of Azkaban;93687367;3,855;142;Adventure,Family,Fantasy;nm0190859;producer,writer,director;1;1;0
Godzilla;93188384;3,952;96;Horror,Sci-Fi;nm0393094;director,writer,assistant_director;0;1;0
Spider-Man: Far from Home;92579212;4,634;129;Action,Adventure,Comedy;nm1218281;director,producer,writer;1;3;1
The Amazing Spider-Man 2;91608337;4,324;142;Action,Adventure,Sci-Fi;nm1989536;producer,director,writer;1;2;0
Aladdin;91500929;4,476;96;Adventure,Comedy,Fantasy;nm0179278;writer,director,soundtrack;0;1;0
It Chapter Two;91062152;4,570;169;Drama,Fantasy,Horror;nm0615592;producer,director,writer;1;1;0
X-Men: Days of Future Past;90823660;3,996;132;Action,Adventure,Sci-Fi;nm0001741;producer,director,actor;1;7;1
Inside Out;90440272;3,946;97;Comedy,Crime,Thriller;nm0240439;director,writer,assistant_director;0;1;0
Harry Potter and the Sorcerer's Stone;90294621;3,672;152;Adventure,Family,Fantasy;nm0001060;producer,writer,director;1;4;1
Pirates of the Caribbean: On Stranger Tides;90151958;4,155;137;Action,Adventure,Fantasy;nm0551128;director,miscellaneous,producer;1;2;0
Venom: Let There Be Carnage;90033210;4,225;97;Action,Sci-Fi,Thriller;nm0785227;actor,producer,director;0;1;0
Skyfall;88364714;3,505;143;Action,Adventure,Thriller;nm0005222;producer,director,miscellaneous;1;3;1
Harry Potter and the Chamber of Secrets;88357488;3,682;161;Adventure,Family,Fantasy;nm0001060;producer,writer,director;1;4;1
Spider-Man 2;88156227;4,152;127;Action,Adventure,Sci-Fi;nm0000600;producer,writer,actor;1;5;1
Fast Five;86198765;3,644;130;Action,Crime,Thriller;nm0510912;producer,director,writer;1;6;1
The Hangover Part II;85946294;3,615;102;Comedy;nm0680846;producer,director,writer;0;5;1
Thor: The Dark World;85737841;3,841;112;Action,Adventure,Fantasy;nm0851930;director,producer,writer;1;2;0
X2;85558731;3,741;134;Action,Sci-Fi,Thriller;nm0001741;producer,director,actor;1;7;1
Fifty Shades of Grey;85171450;3,646;125;Drama,Romance,Thriller;nm0853374;director,producer,writer;1;1;0
Doctor Strange;85058311;3,882;115;Action,Adventure,Fantasy;nm0220600;producer,director,writer;1;3;1
X-Men Origins: Wolverine;85058003;4,099;107;Action,Sci-Fi;nm0004303;actor,director,producer;0;2;0
The Hobbit: An Unexpected Journey;84617303;4,045;169;Adventure,Fantasy;nm0001392;producer,director,writer;1;6;1
Solo: A Star Wars Story;84420489;4,381;135;Action,Adventure,Sci-Fi;nm0000165;producer,actor,writer;1;5;1
The Passion of the Christ;83848082;3,043;127;Drama;nm0000154;actor,producer,director;1;1;0
Oppenheimer;82455420;3,610;180;Biography,Drama,History;nm0634240;writer,producer,director;1;6;1
Monsters University;82429469;4,004;104;Adventure,Animation,Comedy;nm0768959;miscellaneous,producer,art_department;0;2;0
Black Widow;80366312;4,160;95;Drama,Film-Noir,Mystery;nm0425913;writer,producer,director;0;1;0
Star Wars: Episode II - Attack of the Clones;80027814;3,161;142;Action,Adventure,Fantasy;nm0000184;writer,producer,director;1;3;1
Oz the Great and Powerful;79110453;3,912;130;Adventure,Family,Fantasy;nm0000600;producer,writer,actor;1;5;1
Harry Potter and the Half-Blood Prince;77835727;4,325;153;Action,Adventure,Family;nm0946734;director,producer,writer;1;8;1
I Am Legend;77211321;3,606;101;Action,Drama,Horror;nm1349376;director,producer,camera_department;0;5;1
Harry Potter and the Order of the Phoenix;77108414;4,285;138;Action,Adventure,Family;nm0946734;director,producer,writer;1;8;1
The Da Vinci Code;77073388;3,735;149;Mystery,Thriller;nm0000165;producer,actor,writer;1;5;1
Halloween;76221545;3,928;91;Horror,Thriller;nm0000118;soundtrack,writer,music_department;0;1;0
Ant-Man and the Wasp;75812205;4,206;118;Action,Adventure,Comedy;nm0715636;director,producer,actor;1;3;1
Shang-Chi and the Legend of the Ten Rings;75388688;4,300;132;Action,Adventure,Fantasy;nm2308774;producer,director,writer;1;1;0
Star Trek;75204289;3,849;127;Action,Adventure,Sci-Fi;nm0009190;producer,writer,music_department;1;6;1
Fantastic Beasts and Where to Find Them;74403387;4,144;132;Adventure,Family,Fantasy;nm0946734;director,producer,writer;1;8;1
The Simpsons Movie;74036787;3,922;87;Adventure,Animation,Comedy;nm0798899;producer,animation_department,director;0;1;0
John Wick: Chapter 4;73817950;3,855;169;Action,Crime,Thriller;nm0821432;stunts,producer,actor;1;3;1
The Hobbit: The Desolation of Smaug;73645197;3,903;161;Adventure,Drama,Fantasy;nm0001392;producer,director,writer;1;6;1
Austin Powers in Goldmember;73071188;3,613;94;Action,Adventure,Comedy;nm0005366;producer,director,writer;0;4;1
The Lord of the Rings: The Return of the King;72629713;3,703;201;Action,Adventure,Drama;nm0001392;producer,director,writer;1;6;1
Dawn of the Planet of the Apes;72611427;3,967;130;Action,Adventure,Drama;nm0716257;producer,writer,director;1;4;1
The Lost World: Jurassic Park;72132785;3,281;129;Action,Adventure,Sci-Fi;nm0000229;producer,writer,director;1;10;1
Sonic the Hedgehog 2;72105176;4,234;122;Action,Adventure,Comedy;nm1733778;animation_department,director,writer;1;2;0
Eternals;71297219;4,090;156;Action,Adventure,Fantasy;nm2125482;director,writer,producer;1;1;0
Fast & Furious;70950500;3,461;107;Action,Crime,Thriller;nm0510912;producer,director,writer;0;6;1
300;70885301;3,103;117;Action,Drama;nm0811583;director,producer,writer;1;4;1
Shrek Forever After;70838207;4,359;95;Adventure,Animation,Comedy;nm0593610;director,writer,actor;0;3;1
Transformers;70502384;4,011;144;Action,Adventure,Sci-Fi;nm0000881;producer,director,actor;1;8;1
The Incredibles;70467623;3,933;115;Action,Adventure,Animation;nm0083348;miscellaneous,writer,director;1;3;1
Star Trek Into Darkness;70165559;3,868;132;Action,Adventure,Sci-Fi;nm0009190;producer,writer,music_department;1;6;1
F9: The Fast Saga;70043165;4,179;143;Action,Crime,Thriller;nm0510912;producer,director,writer;1;6;1
Twilight;69637740;3,419;99;Drama,Romance;nm0002165;director,writer,art_director;0;1;0
Maleficent;69431298;3,948;97;Adventure,Family,Fantasy;nm0834902;visual_effects,director,producer;0;1;0
The Bourne Ultimatum;69283690;3,660;115;Action,Mystery,Thriller;nm0339030;director,producer,writer;1;4;1
Pitch Perfect 2;69216890;3,473;115;Comedy,Music;nm0006969;actress,producer,director;1;2;0
The Day After Tomorrow;68743584;3,425;124;Action,Adventure,Sci-Fi;nm0000386;writer,producer,director;1;5;1
Planet of the Apes;68532960;3,500;112;Adventure,Sci-Fi;nm0769874;director,producer,actor;1;1;0
The Mummy Returns;68139035;3,401;130;Action,Adventure,Fantasy;nm0814085;producer,writer,director;1;4;1
Ice Age: The Meltdown;68033544;3,964;91;Adventure,Animation,Comedy;nm0757858;director,producer,writer;0;2;0
