movie;openinggross;theathers;runtimeMinutes;genres;director_identifier;primaryProfession;runtime_dummy;director_count;directed_above_median
Die Another Day;47072040;3,314;133;Action,Adventure,Thriller;nm0848414;director,assistant_director,sound_department;1;1;0
Talladega Nights: The Ballad of Ricky Bobby;47042215;3,803;108;Comedy,Sport;nm0570912;producer,writer,director;0;5;1
Jurassic Park;47026828;2,404;127;Action,Adventure,Sci-Fi;nm0000229;producer,writer,director;1;10;1
Troy;46865412;3,411;163;Drama;nm0000583;director,producer,writer;1;4;1
Pirates of the Caribbean: The Curse of the Black Pearl;46630690;3,269;143;Action,Adventure,Fantasy;nm0893659;director,producer,writer;1;3;1
Fifty Shades Darker;46607250;3,710;118;Drama,Romance,Thriller;nm0001226;director,writer,producer;1;2;0
Bad Boys II;46522560;3,186;147;Action,Comedy,Crime;nm0000881;producer,director,actor;1;8;1
Ice Age;46312454;3,316;115;Drama;nm0951731;director,writer,actor;1;1;0
Angels & Demons;46204168;3,527;138;Action,Mystery,Thriller;nm0000165;producer,actor,writer;1;5;1
Meet the Fockers;46120980;3,518;115;Comedy,Romance;nm0005366;producer,director,writer;1;4;1
Ghostbusters;46018755;3,963;105;Action,Comedy,Fantasy;nm0718645;producer,miscellaneous,director;0;2;0
Megamind;46016833;3,944;95;Action,Animation,Comedy;nm0569891;writer,actor,animation_department;0;2;0
Batman Returns;45687711;2,644;126;Action,Crime,Fantasy;nm0000318;producer,miscellaneous,director;1;5;1
Mission: Impossible;45436830;3,012;110;Action,Adventure,Thriller;nm0000361;director,writer,producer;0;2;0
Mad Max: Fury Road;45428128;3,702;120;Action,Adventure,Sci-Fi;nm0004306;producer,writer,director;1;1;0
The Meg;45402195;4,118;113;Action,Horror,Sci-Fi;nm0005509;producer,director,writer;1;3;1
Ghost Rider;45388836;3,619;110;Action,Fantasy,Thriller;nm0425756;writer,director,producer;0;2;0
American Pie 2;45117985;3,063;108;Comedy;nm0736930;assistant_director,producer,director;0;1;0
300: Rise of an Empire;45038460;3,470;102;Action,Drama,War;nm1729171;director,producer;0;1;0
The Hangover;44979319;3,269;100;Comedy;nm0680846;producer,director,writer;0;5;1
National Treasure: Book of Secrets;44783772;3,832;124;Action,Adventure,Mystery;nm0005509;producer,director,writer;1;3;1
Transformers: The Last Knight;44680073;4,069;154;Action,Adventure,Sci-Fi;nm0000881;producer,director,actor;1;8;1
xXx;44506103;3,374;124;Action,Adventure,Thriller;nm0003418;producer,director,actor;1;2;0
Nope;44366910;3,785;130;Horror,Mystery,Sci-Fi;nm1443502;actor,writer,producer;1;2;0
Alvin and the Chipmunks;44307417;3,475;92;Adventure,Animation,Comedy;nm0384722;writer,producer,director;0;1;0
The Peanuts Movie;44213073;3,897;88;Adventure,Animation,Comedy;nm0553942;director,miscellaneous,art_department;0;1;0
Hotel Transylvania 3: Summer Vacation;44076225;4,267;97;Adventure,Animation,Comedy;nm0850733;producer,writer,director;0;1;0
Terminator 3: Rise of the Machines;44041440;3,504;109;Action,Sci-Fi;nm0609236;director,producer,writer;0;1;0
TRON: Legacy;44026211;3,451;125;Action,Adventure,Sci-Fi;nm2676052;director,producer,writer;1;2;0
Uncharted;44010155;4,275;79;Horror;nm1459683;director,actor,producer;0;1;0
Ghostbusters: Afterlife;44008406;4,315;124;Adventure,Comedy,Fantasy;nm0718646;producer,director,writer;1;1;0
Lucy;43899340;3,173;93;Drama,Romance;nm0934629;writer,director,actor;0;1;0
American Gangster;43565135;3,054;157;Biography,Crime,Drama;nm0000631;producer,director,production_designer;1;4;1
The Mummy;43369635;3,210;73;Fantasy,Horror;nm0005713;cinematographer,director,camera_department;0;1;0
Hitch;43142214;3,575;118;Comedy,Romance;nm0855035;producer,director,writer;1;2;0
Batman & Robin;42872605;2,934;125;Action,Sci-Fi;nm0001708;director,writer,producer;1;2;0
Terminator Salvation;42558390;3,530;115;Action,Adventure,Sci-Fi;nm0629334;producer,miscellaneous,director;1;3;1
Hotel Transylvania;42522194;3,349;74;Adult;nm0211487;director,producer,cinematographer;0;2;0
Nutty Professor II: The Klumps;42518830;3,242;106;Comedy,Romance,Sci-Fi;nm0781842;director,producer,writer;0;4;1
Scary Movie;42346669;2,912;82;Comedy,Horror,Thriller;nm0259032;director,writer,producer;0;1;0
Anger Management;42220847;3,551;106;Comedy;nm0781842;director,producer,writer;0;4;1
Fantastic Beasts: The Secrets of Dumbledore;42151256;4,208;142;Adventure,Family,Fantasy;nm0946734;director,producer,writer;1;8;1
High School Musical 3: Senior Year;42030184;3,623;112;Comedy,Drama,Family;nm0650905;director,miscellaneous,producer;1;2;0
The Conjuring;41855326;2,903;112;Horror,Mystery,Thriller;nm1490123;producer,writer,director;1;5;1
Ready Player One;41764050;4,234;140;Action,Adventure,Sci-Fi;nm0000229;producer,writer,director;1;10;1
The Hangover Part III;41671198;3,555;100;Comedy,Crime;nm0680846;producer,director,writer;0;5;1
Ocean's Eight;41607378;4,145;110;Action,Comedy,Crime;nm0002657;writer,producer,director;0;2;0
Big Daddy;41536370;3,027;68;Adventure,Crime,Drama;nm0386973;producer,writer,director;0;1;0
Ride Along;41516170;2,663;99;Action,Comedy,Crime;nm1103162;director,producer,actor;0;6;1
Grown Ups 2;41508572;3,491;101;Comedy;nm0240797;actor,director,producer;0;5;1
The Perfect Storm;41325042;3,407;130;Action,Adventure,Drama;nm0000583;director,producer,writer;1;4;1
Deep Impact;41152375;3,156;120;Action,Drama,Sci-Fi;nm0001460;producer,director,script_department;1;1;0
Once Upon a Time in Hollywood;41082018;3,659;161;Comedy,Drama;nm0000233;writer,actor,producer;1;5;1
Shutter Island;41062440;2,991;138;Mystery,Thriller;nm0000217;producer,director,actor;1;2;0
Twister;41059405;2,414;93;Comedy,Drama;nm0021899;director,writer,producer;0;1;0
Independence Day: Resurgence;41039944;4,130;120;Action,Adventure,Sci-Fi;nm0000386;writer,producer,director;1;5;1
Madea Goes to Jail;41030947;2,032;103;Comedy,Crime,Drama;nm1347153;writer,director,producer;0;11;1
Dune;41011174;4,125;137;Action,Adventure,Sci-Fi;nm0000186;writer,director,producer;1;1;0
Paranormal Activity 2;40678424;3,216;91;Horror,Mystery;nm0931095;director,writer,actor;0;1;0
Friday the 13th;40570365;3,105;50;Drama;nm0154352;director,actor,writer;0;2;0
Grown Ups;40506562;3,534;102;Comedy;nm0240797;actor,director,producer;0;5;1
G.I. Joe: Retaliation;40501814;3,719;110;Action,Adventure,Sci-Fi;nm0160840;producer,writer,director;0;4;1
Batman;40489746;2,194;260;Action,Crime,Family;nm0385171;director,writer,assistant_director;1;1;0
The Mummy: Tomb of the Dragon Emperor;40457770;3,760;112;Action,Adventure,Fantasy;nm0003418;producer,director,actor;1;2;0
The Conjuring 2;40406314;3,343;134;Horror,Mystery,Thriller;nm1490123;producer,writer,director;1;5;1
Glass;40328920;3,841;93;Thriller;nm0447960;director,writer,producer;0;1;0
The Last Airbender;40325019;3,169;103;Action,Adventure,Family;nm0796117;producer,director,writer;0;4;1
Daredevil;40310419;3,471;103;Action,Crime;nm0425756;writer,director,producer;0;2;0
Power Rangers;40300288;3,693;124;Action,Adventure,Fantasy;nm2410311;director,producer,writer;1;1;0
Insidious: Chapter 2;40272103;3,049;106;Horror,Mystery,Thriller;nm1490123;producer,writer,director;0;5;1
Scary Movie 4;40222875;3,602;83;Comedy;nm0001878;writer,producer,director;0;2;0
Safe House;40172720;3,119;112;Drama,Thriller;nm0821451;writer,director,producer;1;1;0
Charlie's Angels;40128550;3,037;98;Action,Adventure,Comedy;nm0629334;producer,miscellaneous,director;0;3;1
Cloverfield;40058229;3,411;85;Action,Adventure,Horror;nm0716257;producer,writer,director;0;4;1
Halloween Ends;40050355;3,901;111;Horror,Thriller;nm0337773;producer,director,writer;0;3;1
Chicken Little;40049778;3,654;81;Adventure,Animation,Comedy;nm0227540;visual_effects,art_department,writer;0;1;0
Split;40010975;3,038;85;Comedy,Drama,Mystery;nm0789651;actor,editor,director;0;1;0
50 First Dates;39852237;3,591;99;Comedy,Drama,Romance;nm0781842;director,producer,writer;0;4;1
Wild Hogs;39699023;3,287;100;Action,Adventure,Comedy;nm0065608;director,producer,writer;0;1;0
Sherlock Holmes: A Game of Shadows;39637079;3,703;129;Action,Adventure,Mystery;nm0005363;writer,director,producer;1;1;0
The Waterboy;39414071;2,664;90;Comedy,Sport;nm0178997;director,actor,producer;0;1;0
Rio 2;39327869;3,948;101;Adventure,Animation,Comedy;nm0757858;director,producer,writer;0;2;0
Rio;39225962;3,826;77;Crime,Drama,Romance;nm0103975;director,assistant_director,production_manager;0;1;0
Taken 3;39201657;3,594;108;Action,Crime,Thriller;nm0576298;director,writer,assistant_director;0;2;0
The Good Dinosaur;39155217;3,749;93;Adventure,Animation,Comedy;nm0812307;actor,animation_department,art_department;0;2;0
Ocean's Twelve;39153380;3,290;125;Crime,Thriller;nm0001752;producer,director,cinematographer;1;4;1
The Grudge;39128715;3,245;100;Adventure,Drama;nm1251937;writer,director,producer;0;1;0
Magic Mike;39127170;2,930;110;Comedy,Drama;nm0001752;producer,director,cinematographer;0;4;1
Onward;39119861;4,310;102;Action,Adventure,Animation;nm0768959;miscellaneous,producer,art_department;0;2;0
The Heat;39115043;3,181;67;Comedy,Drama,Romance;nm7446519;producer,director,actor;0;1;0
Kingsman: The Golden Circle;39023010;4,003;141;Action,Adventure,Comedy;nm0891216;producer,director,writer;1;3;1
Morbius;39005895;4,268;104;Action,Adventure,Horror;nm1174251;director,producer,writer;0;1;0
Daddy's Home;38740203;3,271;96;Comedy,Family;nm1890845;writer,director,producer;0;2;0
Get Smart;38683480;3,911;110;Action,Adventure,Comedy;nm0781842;director,producer,writer;0;4;1
Fifty Shades Freed;38560195;3,768;105;Drama,Romance,Thriller;nm0001226;director,writer,producer;0;2;0
You Don't Mess with the Zohan;38531374;3,462;113;Action,Comedy;nm0240797;actor,director,producer;1;5;1
The Legend of Tarzan;38527856;3,561;110;Action,Adventure,Drama;nm0946734;director,producer,writer;0;8;1
The Cat in the Hat;38329160;3,464;82;Adventure,Comedy,Family;nm0919514;production_designer,director,art_director;0;1;0
Alien vs. Predator;38291056;3,395;101;Action,Adventure,Horror;nm0027271;writer,producer,director;0;4;1
The Bourne Legacy;38142825;3,745;135;Action,Adventure,Thriller;nm0006904;writer,producer,director;1;1;0
Ocean's Eleven;38107822;3,075;127;Comedy,Crime,Music;nm0587277;director,writer,producer;1;1;0
Rango;38079323;3,917;66;Adventure;nm0774325;director,cinematographer,camera_department;0;1;0
Inglourious Basterds;38054676;3,165;153;Adventure,Drama,War;nm0000233;writer,actor,producer;1;5;1
Ace Ventura: When Nature Calls;37804076;2,652;90;Adventure,Comedy,Crime;nm0644203;writer,producer,actor;0;1;0
Charlie's Angels: Full Throttle;37634221;3,459;106;Action,Adventure,Comedy;nm0629334;producer,miscellaneous,director;0;3;1
Hop;37543710;3,579;106;Comedy,Drama;nm0822012;producer,director,writer;0;1;0
Gone Girl;37513109;3,014;149;Drama,Mystery,Thriller;nm0000399;producer,director,writer;1;4;1
District 9;37354308;3,049;112;Action,Sci-Fi,Thriller;nm0088955;director,writer,visual_effects;1;1;0
Pacific Rim;37285325;3,275;131;Action,Adventure,Sci-Fi;nm0868219;writer,producer,director;1;4;1
Mr. Deeds;37162787;3,231;96;Comedy,Romance;nm0109359;writer,producer,actor;0;1;0
Annabelle;37134255;3,185;99;Horror,Mystery,Thriller;nm0502954;cinematographer,camera_department,director;0;1;0
Air Force One;37132505;2,919;124;Action,Drama,Thriller;nm0000583;director,producer,writer;1;4;1
S.W.A.T.;37062535;3,202;117;Action,Adventure,Crime;nm0424800;actor,director,producer;1;1;0
Oblivion;37054485;3,783;94;Adventure,Comedy,Crime;nm0006787;director,producer,soundtrack;0;1;0
Maleficent: Mistress of Evil;36948713;3,790;119;Adventure,Family,Fantasy;nm1461392;director,producer,writer;1;1;0
Red Dragon;36540945;3,357;115;Crime;nm0543647;director,producer,writer;1;1;0
Cowboys & Aliens;36431290;3,750;119;Action,Drama,Sci-Fi;nm0269463;producer,actor,writer;1;3;1
Freddy vs. Jason;36400000;3,014;97;Action,Horror;nm0950553;director,producer,writer;0;1;0
Interview with the Vampire: The Vampire Chronicles;36389705;2,604;123;Drama,Fantasy,Horror;nm0001403;writer,producer,director;1;1;0
Marley & Me;36357586;3,480;111;Drama,Family;nm0291205;production_manager,producer,director;0;2;0
Kingsman: The Secret Service;36206331;3,204;129;Action,Adventure,Comedy;nm0891216;producer,director,writer;1;3;1
Jumanji: Welcome to the Jungle;36169328;3,765;119;Action,Adventure,Comedy;nm0440458;producer,director,actor;1;3;1
Alien: Covenant;36160621;3,761;122;Horror,Sci-Fi,Thriller;nm0000631;producer,director,production_designer;1;4;1
Ocean's Thirteen;36133403;3,565;122;Crime,Thriller;nm0001752;producer,director,cinematographer;1;4;1
The Scorpion King;36075875;3,444;92;Action,Adventure,Fantasy;nm0751080;director,producer,writer;0;2;0
The Equalizer 2;36011640;3,388;121;Action,Crime,Thriller;nm0298807;producer,director,actor;1;5;1
10,000 BC;35867488;3,410;109;Action,Adventure,Drama;nm0000386;writer,producer,director;0;5;1
Rampage;35753093;4,101;98;Adventure,Romance;nm0439597;director,assistant_director,writer;0;1;0
Minority Report;35677125;3,001;145;Action,Crime,Mystery;nm0000229;producer,writer,director;1;10;1
Sweet Home Alabama;35648740;3,293;108;Comedy,Romance;nm0855035;producer,director,writer;0;2;0
The Smurfs;35611637;3,395;103;Adventure,Animation,Comedy;nm0331532;editor,director,editorial_department;0;5;1
Creed II;35574710;3,441;130;Action,Drama,Sport;nm4023702;director,producer,writer;1;2;0
Battle Los Angeles;35573187;3,417;116;Action,Adventure,Sci-Fi;nm0509448;producer,director,writer;1;2;0
The Other Guys;35543162;3,651;107;Action,Comedy,Crime;nm0570912;producer,writer,director;0;5;1
Central Intelligence;35535250;3,508;107;Action,Comedy,Crime;nm1098493;director,producer,writer;0;3;1
The World Is Not Enough;35519007;3,163;128;Action,Adventure,Thriller;nm0000776;director,producer,miscellaneous;1;2;0
Super 8;35451168;3,379;112;Action,Mystery,Sci-Fi;nm0009190;producer,writer,music_department;1;6;1
Teenage Mutant Ninja Turtles: Out of the Shadows;35316382;4,071;112;Action,Adventure,Comedy;nm1757777;director,camera_department,miscellaneous;1;1;0
Sing;35258145;4,022;98;Drama,Musical;nm0059956;soundtrack,composer,music_department;0;1;0
Ride Along 2;35243095;3,175;102;Action,Comedy,Crime;nm1103162;director,producer,actor;0;6;1
National Treasure;35142554;3,017;131;Action,Adventure,Mystery;nm0005509;producer,director,writer;1;3;1
The Ring Two;35065237;3,332;110;Horror,Mystery;nm0620378;director,writer,producer;0;1;0
Runaway Bride;35055556;3,158;116;Comedy,Romance;nm0005190;writer,producer,actor;1;3;1
Sully;35028301;3,525;96;Biography,Drama;nm0000142;actor,producer,director;0;1;0
Jungle Cruise;35018731;4,310;127;Action,Adventure,Comedy;nm1429471;producer,director;1;2;0
Annabelle: Creation;35006404;3,502;109;Horror,Mystery,Thriller;nm2497546;director,writer,actor;0;3;1
Mamma Mia! Here We Go Again;34952180;3,317;114;Comedy,Musical,Romance;nm0662530;writer,director,producer;1;1;0
The Expendables;34825135;3,270;89;Action,Adventure,War;nm0379391;director,producer,writer;0;1;0
Gladiator;34819017;2,938;101;Action,Drama,Sport;nm0380705;writer,director,miscellaneous;0;1;0
Scream 3;34713342;3,467;116;Horror,Mystery;nm0000127;writer,producer,director;1;3;1
The Magnificent Seven;34703397;3,674;128;Action,Adventure,Drama;nm0836328;director,producer,editor;1;1;0
The Equalizer 3;34604229;3,965;109;Action,Crime,Thriller;nm0298807;producer,director,actor;0;5;1
Identity Thief;34551025;3,141;111;Comedy,Crime,Drama;nm1164861;producer,director,miscellaneous;0;3;1
Hellboy II: The Golden Army;34539115;3,204;120;Action,Adventure,Fantasy;nm0868219;writer,producer,director;1;4;1
Enchanted;34440317;3,730;96;Comedy;nm0911631;actor,director,producer;0;1;0
Couples Retreat;34286740;3,000;113;Comedy;nm0082526;producer,actor,director;1;1;0
I Now Pronounce You Chuck & Larry;34233750;3,495;115;Comedy,Romance;nm0240797;actor,director,producer;1;5;1
Ransom;34216088;2,676;58;Action,Adventure,Crime;nm0782707;director,writer,producer;0;1;0
Norbit;34195434;3,136;103;Comedy,Romance;nm0005367;producer,actor,writer;0;1;0
The Equalizer;34137828;3,236;132;Action,Crime,Thriller;nm0298807;producer,director,actor;1;5;1
The Blind Side;34119372;3,110;129;Biography,Drama,Sport;nm0359387;writer,director,producer;1;1;0
The Lego Movie 2: The Second Part;34115335;4,303;107;Action,Adventure,Animation;nm0593610;director,writer,actor;0;3;1
Puss in Boots;34077439;3,952;80;Adventure,Animation,Comedy;nm0944760;director,writer,art_department;0;1;0
The Purge;34058360;2,536;57;Documentary;nm1717930;producer,writer,miscellaneous;0;1;0
Lethal Weapon 4;34048124;3,117;127;Action,Crime,Thriller;nm0001149;director,producer,actor;1;2;0
The Devil Inside;33732515;2,285;71;Crime;nm0654109;director,assistant_director,producer;0;1;0
Think Like a Man;33636303;2,015;123;Comedy,Romance;nm1103162;director,producer,actor;1;6;1
The Proposal;33627598;3,056;91;Drama,Thriller;nm0301903;director,writer,producer;0;1;0
Saw III;33610391;3,167;108;Horror,Mystery,Thriller;nm1135423;director,producer,writer;0;3;1
Ted 2;33507870;3,442;115;Comedy;nm0532235;writer,producer,music_department;1;1;0
101 Dalmatians;33504025;2,794;103;Adventure,Comedy,Crime;nm0378893;producer,director,editorial_department;0;1;0
Wrath of the Titans;33457188;3,545;99;Action,Adventure,Fantasy;nm0509448;producer,director,writer;0;2;0
The Haunting;33435140;2,808;112;Horror;nm0936404;director,producer,editor;1;2;0
Get Out;33377060;2,781;104;Horror,Mystery,Thriller;nm1443502;actor,writer,producer;0;2;0
Live Free or Die Hard;33369559;3,408;128;Action,Thriller;nm0936482;producer,writer,director;1;2;0
American Wedding;33369440;3,172;96;Comedy;nm0245888;director,producer,writer;0;1;0
Lethal Weapon 3;33243086;2,510;118;Action,Crime,Thriller;nm0001149;director,producer,actor;1;2;0
Hustlers;33181361;3,250;95;Comedy,Drama;nm0638189;director,writer,actor;0;1;0
A Wrinkle in Time;33123609;3,980;109;Adventure,Drama,Family;nm1148550;writer,producer,miscellaneous;0;1;0
Superbad;33052411;2,948;113;Comedy;nm0609549;producer,director,writer;1;1;0
Tomorrowland;33028165;3,972;130;Action,Adventure,Family;nm0083348;miscellaneous,writer,director;1;3;1
Insidious: The Red Door;33013036;3,188;107;Horror,Mystery,Thriller;nm0933940;actor,soundtrack,producer;0;1;0
Birds of Prey;33010017;4,236;56;Crime,Drama,Romance;nm0185714;director,writer,cinematographer;0;2;0
Rush Hour;33001803;2,638;98;Action,Comedy,Crime;nm0711840;producer,director,music_department;0;5;1
Scream 2;32926342;2,663;120;Horror,Mystery;nm0000127;writer,producer,director;1;3;1
A Nightmare on Elm Street;32902299;3,332;91;Horror;nm0000127;writer,producer,director;0;3;1
Dark Phoenix;32828348;3,721;113;Action,Adventure,Sci-Fi;nm1334526;producer,writer,script_department;1;1;0
Blade Runner 2049;32753122;4,058;164;Action,Drama,Mystery;nm0898288;director,writer,editor;1;2;0
Where the Wild Things Are;32695407;3,735;101;Adventure,Drama,Family;nm0005069;producer,writer,director;0;1;0
Due Date;32689406;3,355;95;Comedy,Drama;nm0680846;producer,director,writer;0;5;1
The Nun II;32603336;3,728;110;Horror,Mystery,Thriller;nm1980431;director,writer,visual_effects;0;3;1
Blade II;32528016;2,707;117;Action,Horror,Sci-Fi;nm0868219;writer,producer,director;1;4;1
The Maze Runner;32512804;3,604;113;Action,Mystery,Sci-Fi;nm1226871;art_department,director,visual_effects;1;3;1
Spy Kids 3: Game Over;32500000;3,344;84;Action,Adventure,Comedy;nm0001675;producer,writer,director;0;4;1
Hannah Montana: The Movie;32324487;3,118;102;Comedy,Drama,Family;nm0155093;actor,director,writer;0;1;0
Mr. Peabody & Sherman;32207057;3,934;92;Adventure,Animation,Comedy;nm0591450;producer,director,animation_department;0;3;1
Immortals;32206425;3,112;110;Action,Drama,Fantasy;nm0802248;director,producer,soundtrack;0;1;0
Wedding Crashers;32200000;2,925;119;Comedy,Romance;nm0229694;producer,director,miscellaneous;1;1;0
Elf;32100000;3,337;97;Adventure,Comedy,Family;nm0269463;producer,actor,writer;0;3;1
Jackass Presents: Bad Grandpa;32055177;3,336;92;Comedy;nm0871860;writer,producer,director;0;5;1
Paul Blart: Mall Cop;31832636;3,144;91;Action,Comedy,Crime;nm0139867;director,producer;0;3;1
Terminator 2: Judgment Day;31765506;2,274;137;Action,Sci-Fi;nm0000116;writer,producer,director;1;3;1
Saw IV;31756764;3,183;93;Horror,Mystery,Thriller;nm1135423;director,producer,writer;0;3;1
Saw II;31725652;2,949;93;Horror,Mystery;nm1135423;director,producer,writer;0;3;1
G-Force;31706934;3,697;88;Action,Adventure,Comedy;nm0947087;visual_effects,director,writer;0;1;0
Godzilla vs. Kong;31625971;3,064;113;Action,Sci-Fi,Thriller;nm1417392;director,editor,cinematographer;1;1;0
Bad Teacher;31603106;3,049;92;Comedy,Romance;nm0440458;producer,director,actor;0;3;1
The Truman Show;31542121;2,315;103;Comedy,Drama;nm0001837;director,writer,producer;0;2;0
The Purge: Election Year;31515110;2,796;108;Action,Horror,Sci-Fi;nm0218621;writer,producer,director;0;2;0
The Wolfman;31479235;3,222;103;Drama,Fantasy,Horror;nm0002653;director,visual_effects,producer;0;3;1
Ford v Ferrari;31474958;3,528;152;Action,Biography,Drama;nm0003506;producer,director,writer;1;3;1
Liar Liar;31423025;2,845;86;Comedy,Fantasy;nm0001723;producer,director,actor;0;4;1
Percy Jackson & the Olympians: The Lightning Thief;31236067;3,356;118;Adventure,Family,Fantasy;nm0001060;producer,writer,director;1;4;1
Girls Trip;31201920;2,591;122;Adventure,Comedy,Drama;nm0002700;writer,director,producer;1;3;1
Evan Almighty;31192615;3,604;96;Comedy,Family,Fantasy;nm0001723;producer,director,actor;0;4;1
The Sum of All Fears;31178526;3,183;124;Action,Drama,Thriller;nm0004675;writer,director,producer;1;1;0
Home Alone 2: Lost in New York;31126882;2,222;120;Adventure,Comedy,Crime;nm0001060;producer,writer,director;1;4;1
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert;31117834;683,000;74;Documentary,Music;nm0376712;production_manager,producer,director;0;1;0
Bringing Down the House;31101026;2,801;105;Comedy;nm0788202;producer,miscellaneous,director;0;2;0
Four Christmases;31069826;3,310;88;Comedy,Drama,Romance;nm1164861;producer,director,miscellaneous;0;3;1
Space Jam: A New Legacy;31053362;3,965;115;Adventure,Animation,Comedy;nm0002700;writer,director,producer;1;3;1
Pokémon: The First Movie - Mewtwo Strikes Back;31036678;3,043;96;Action,Adventure,Animation;nm0951197;director,art_department,writer;0;1;0
Downton Abbey;31033665;3,079;122;Drama,Romance;nm0257554;director,producer,writer;1;1;0
Sex and the City 2;31001870;3,445;146;Comedy,Drama,Romance;nm0455078;producer,writer,director;1;2;0
Step Brothers;30940732;3,094;98;Comedy;nm0570912;producer,writer,director;0;5;1
Little Fockers;30833665;3,536;98;Comedy,Romance;nm0919369;producer,writer,director;0;1;0
Star Trek: First Contact;30716131;2,812;111;Action,Adventure,Drama;nm0000408;actor,director,producer;0;2;0
Knocked Up;30690990;2,871;129;Comedy,Romance;nm0031976;producer,writer,director;1;3;1
The Dukes of Hazzard;30675314;3,785;104;Comedy;nm0151540;director,actor,writer;0;1;0
Unbroken;30621445;3,131;104;Drama;nm10725766;director;0;1;0
Brüno;30619130;2,756;81;Comedy;nm0153078;producer,writer,director;0;2;0
Saving Private Ryan;30576104;2,463;169;Drama,War;nm0000229;producer,writer,director;1;10;1
The Pacifier;30552694;3,131;95;Action,Comedy,Drama;nm0788202;producer,miscellaneous,director;0;2;0
Bram Stoker's Dracula;30521679;2,491;128;Drama,Fantasy,Horror;nm0000338;producer,director,writer;1;1;0
The Happening;30517109;2,986;101;Comedy;nm0799033;director,miscellaneous,actor;0;1;0
Just Go with It;30514732;3,548;117;Comedy,Romance;nm0240797;actor,director,producer;1;5;1
The Day the Earth Stood Still;30480153;3,560;92;Drama,Sci-Fi;nm0936404;director,producer,editor;0;2;0
Dear John;30468614;2,969;111;Drama,Romance;nm0511837;director,writer;0;1;0
The Lost City;30453269;4,253;300;Action,Adventure;nm0552228;director,writer,actor;1;1;0
John Wick: Chapter 2;30436123;3,113;122;Action,Crime,Thriller;nm0821432;stunts,producer,actor;1;3;1
Night at the Museum;30433781;3,685;108;Adventure,Comedy,Family;nm0506613;producer,director,actor;0;5;1
M3GAN;30429860;3,509;102;Horror,Sci-Fi,Thriller;nm2067421;writer,director,producer;0;1;0
Olympus Has Fallen;30373794;3,098;119;Action,Thriller;nm0298807;producer,director,actor;1;5;1
Unbreakable;30330771;2,708;106;Drama,Mystery,Sci-Fi;nm0796117;producer,director,writer;0;4;1
Maze Runner: The Scorch Trials;30316510;3,791;131;Action,Adventure,Sci-Fi;nm1226871;art_department,director,visual_effects;1;3;1
The Addams Family;30300007;4,007;99;Comedy,Fantasy;nm0001756;producer,director,cinematographer;0;5;1
America's Sweethearts;30181877;3,011;102;Comedy,Romance;nm0005387;producer,director,miscellaneous;0;2;0
John Carter;30180188;3,749;132;Action,Adventure,Sci-Fi;nm0004056;writer,actor,producer;1;2;0
The X Files;30138758;2,629;121;Drama,Mystery,Sci-Fi;nm0101385;producer,director,actor;1;1;0
Django Unchained;30122888;3,010;165;Drama,Western;nm0000233;writer,actor,producer;1;5;1
Shazam! Fury of the Gods;30111158;4,071;130;Action,Adventure,Comedy;nm2497546;director,writer,actor;1;3;1
The Best Man Holiday;30107555;2,024;123;Comedy,Drama;nm0002700;writer,director,producer;1;3;1
Trainwreck;30097040;3,158;125;Comedy,Drama,Romance;nm0031976;producer,writer,director;1;3;1
Prince of Persia: The Sands of Time;30095259;3,646;116;Action,Adventure,Fantasy;nm0001565;director,producer,executive;1;2;0
Dodgeball: A True Underdog Story;30070196;2,694;92;Comedy,Sport;nm1098493;director,producer,writer;0;3;1
A Series of Unfortunate Events;30061756;3,620;108;Adventure,Comedy,Family;nm0797869;producer,director,writer;0;1;0
Sleepy Hollow;30060467;3,064;105;Fantasy,Horror,Mystery;nm0000318;producer,miscellaneous,director;0;5;1
Panic Room;30056751;3,053;112;Crime,Drama,Thriller;nm0000399;producer,director,writer;1;4;1
The Exorcism of Emily Rose;30054300;2,981;119;Drama,Horror,Thriller;nm0220600;producer,director,writer;1;3;1
Saw V;30053954;3,060;92;Horror,Thriller;nm0352524;production_designer,director,producer;0;1;0
Catch Me If You Can;30053627;3,156;106;Action,Comedy,Drama;nm0814085;producer,writer,director;0;4;1
A Christmas Carol;30051075;3,683;69;Drama,Family,Fantasy;nm0547446;director,assistant_director,producer;0;1;0
Men in Black: International;30035838;4,224;114;Action,Adventure,Comedy;nm0336620;director,producer,actor;1;5;1
Madea's Family Reunion;30030661;2,194;107;Comedy,Drama,Romance;nm1347153;writer,director,producer;0;11;1
Bullet Train;30030156;4,357;152;Action,Crime,Drama;nm0766220;director,writer,assistant_director;1;1;0
Scream;30018805;3,664;82;Horror,Mystery;nm0704434;stunts,director,actor;0;1;0
Meg 2: The Trench;30002735;3,503;116;Action,Adventure,Horror;nm1296554;director,writer,producer;1;1;0
The Purge: Anarchy;29816675;2,805;103;Action,Horror,Sci-Fi;nm0218621;writer,producer,director;0;2;0
Elysium;29807393;3,284;118;Drama,War;nm0844438;script_department,writer,director;1;1;0
Hercules;29800263;3,595;104;Adventure,Fantasy,History;nm0290371;director,writer,editor;0;1;0
Constantine;29769098;3,006;121;Action,Fantasy,Horror;nm1349376;director,producer,camera_department;1;5;1
