name,openinggross,theathers
Olympus Has Fallen,"$30,373,794","3,098"
Unbreakable,"$30,330,771","2,708"
Maze Runner: The Scorch Trials,"$30,316,510","3,791"
Cloudy with a Chance of Meatballs,"$30,304,648","3,119"
The Addams Family,"$30,300,007","4,007"
America's Sweethearts,"$30,181,877","3,011"
John Carter,"$30,180,188","3,749"
The Lion King2011 3D Release,"$30,151,614","2,330"
The X Files,"$30,138,758","2,629"
Django Unchained,"$30,122,888","3,010"
Shazam! Fury of the Gods,"$30,111,158","4,071"
The Best Man Holiday,"$30,107,555","2,024"
Trainwreck,"$30,097,040","3,158"
Prince of Persia: The Sands of Time,"$30,095,259","3,646"
Dodgeball: A True Underdog Story,"$30,070,196","2,694"
A Series of Unfortunate Events,"$30,061,756","3,620"
Sleepy Hollow,"$30,060,467","3,064"
Panic Room,"$30,056,751","3,053"
The Exorcism of Emily Rose,"$30,054,300","2,981"
Saw V,"$30,053,954","3,060"
Catch Me If You Can,"$30,053,627","3,156"
A Christmas Carol,"$30,051,075","3,683"
Men in Black: International,"$30,035,838","4,224"
Madea's Family Reunion,"$30,030,661","2,194"
Bullet Train,"$30,030,156","4,357"
Scream,"$30,018,805","3,664"
Meg 2: The Trench,"$30,002,735","3,503"
The Purge: Anarchy,"$29,816,675","2,805"
Elysium,"$29,807,393","3,284"
Hercules,"$29,800,263","3,595"
Constantine,"$29,769,098","3,006"
What Lies Beneath,"$29,702,959","2,813"
The Flintstones,"$29,688,730","2,498"
Dark Shadows,"$29,685,274","3,755"
Daddy's Home 2,"$29,651,193","3,575"
Creed,"$29,632,823","3,404"
Elemental,"$29,602,429","4,035"
Insidious: The Last Key,"$29,581,355","3,116"
Justin Bieber: Never Say Never,"$29,514,054","3,105"
Ghostbusters II,"$29,472,894","2,410"
Scooby-Doo 2: Monsters Unleashed,"$29,438,331","3,312"
Indiana Jones and the Last Crusade,"$29,355,021","2,327"
A.I. Artificial Intelligence,"$29,352,630","3,242"
Now You See Me,"$29,350,389","2,925"
Beverly Hills Chihuahua,"$29,300,465","3,215"
Why Did I Get Married Too?,"$29,289,537","2,155"
Think Like a Man Too,"$29,241,911","2,225"
The Muppets,"$29,239,026","3,440"
The Lone Ranger,"$29,210,849","3,904"
Eagle Eye,"$29,150,721","3,510"
Toy Story,"$29,140,617","2,457"
The Texas Chainsaw Massacre,"$29,100,000","3,016"
Spy,"$29,085,719","3,711"
Terminator: Dark Fate,"$29,033,832","4,086"
Allegiant,"$29,027,348","3,740"
Doctor Dolittle,"$29,014,324","2,777"
The Santa Clause 2,"$29,008,696","3,350"
Paranormal Activity 4,"$29,003,866","3,412"
Jackass Number Two,"$29,002,002","3,059"
Inside Man,"$28,954,945","2,818"
Cast Away,"$28,883,406","2,774"
Non-Stop,"$28,875,635","3,090"
Miss Peregrine's Home for Peculiar Children,"$28,871,140","3,522"
Edge of Tomorrow,"$28,760,246","3,490"
Murder on the Orient Express,"$28,681,472","3,341"
Titanic,"$28,638,131","2,674"
Meet the Parents,"$28,623,300","2,614"
Obsessed,"$28,612,730","2,514"
The Expendables 2,"$28,591,370","3,316"
Alita: Battle Angel,"$28,525,613","3,790"
Boo! A Madea Halloween,"$28,501,448","2,260"
Anchorman: The Legend of Ron Burgundy,"$28,416,365","3,091"
Mama,"$28,402,310","2,647"
Free Guy,"$28,365,416","4,165"
Nacho Libre,"$28,309,599","3,070"
Horrible Bosses,"$28,302,165","3,040"
The Invisible Man,"$28,205,665","3,610"
Erin Brockovich,"$28,138,465","2,848"
Pacific Rim: Uprising,"$28,116,535","3,708"
Starsky & Hutch,"$28,103,367","3,185"
Sin City,"$28,100,000","3,230"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$28,007,544","3,858"
Back to the Future Part II,"$27,835,125","1,865"
Hairspray,"$27,800,000","3,121"
The Matrix,"$27,788,331","2,849"
He's Just Not That Into You,"$27,785,487","3,175"
Mamma Mia!,"$27,751,240","2,976"
Big Momma's House 2,"$27,736,056","3,261"
Jarhead,"$27,726,210","2,411"
Along Came Polly,"$27,721,185","2,984"
Wild Wild West,"$27,687,484","3,342"
Daddy Day Care,"$27,623,580","3,370"
The Ugly Truth,"$27,605,576","2,882"
Cheaper by the Dozen,"$27,557,647","3,298"
Wonder,"$27,547,866","3,096"
The Devil Wears Prada,"$27,537,244","2,847"
Space Jam,"$27,528,529","2,650"
After Earth,"$27,520,040","3,401"
Beowulf,"$27,515,871","3,153"
42,"$27,487,144","3,003"
Bedtime Stories,"$27,450,296","3,681"
The Final Destination,"$27,408,309","3,121"
Jumper,"$27,354,808","3,428"
Journey 2: The Mysterious Island,"$27,335,363","3,470"
The Rugrats Movie,"$27,321,470","2,782"
Real Steel,"$27,319,677","3,440"
Les Misérables,"$27,281,735","2,814"
Night School,"$27,257,615","3,010"
Encanto,"$27,206,494","3,980"
Jack the Giant Slayer,"$27,202,226","3,525"
The Bourne Identity,"$27,118,640","2,638"
A Madea Family Funeral,"$27,062,332","2,442"
2 Guns,"$27,059,130","3,025"
Terminator Genisys,"$27,018,486","3,758"
Ender's Game,"$27,017,351","3,407"
The Departed,"$26,887,467","3,017"
Alice Through the Looking Glass,"$26,858,726","3,763"
Underworld: Evolution,"$26,857,181","3,207"
The Curious Case of Benjamin Button,"$26,853,816","2,988"
Zombieland: Double Tap,"$26,803,104","3,468"
Knives Out,"$26,769,548","3,461"
Flubber,"$26,725,207","2,641"
Dawn of the Dead,"$26,722,575","2,745"
The Sixth Sense,"$26,681,262","2,161"
Resident Evil: Afterlife,"$26,650,264","3,203"
The House with a Clock in Its Walls,"$26,608,020","3,592"
The Campaign,"$26,588,460","3,205"
Spy Kids,"$26,546,881","3,104"
The Pursuit of Happyness,"$26,541,709","2,852"
Crazy Rich Asians,"$26,510,140","3,384"
Borat,"$26,455,463",837
All Eyez on Me,"$26,435,354","2,471"
We're the Millers,"$26,419,396","3,260"
Hollow Man,"$26,414,386","2,956"
Don't Breathe,"$26,411,706","3,051"
Halloween,"$26,362,367","3,472"
Beverly Hills Cop II,"$26,348,555","2,326"
The Curse of La Llorona,"$26,347,631","3,372"
Bridesmaids,"$26,247,410","2,918"
Anchorman 2: The Legend Continues,"$26,232,425","3,507"
Bolt,"$26,223,128","3,651"
The Suicide Squad,"$26,205,415","4,002"
GoldenEye,"$26,205,007","2,667"
The Golden Compass,"$26,125,000","3,528"
The Help,"$26,044,590","2,534"
Happy Death Day,"$26,039,025","3,149"
The Perfect Guy,"$25,888,154","2,221"
True Lies,"$25,869,770","2,368"
Tropic Thunder,"$25,812,796","3,319"
Evil Dead,"$25,775,847","3,025"
Rocketman,"$25,725,722","3,610"
Miami Vice,"$25,723,815","3,021"
Captain Phillips,"$25,718,314","3,020"
Fantastic Four,"$25,685,737","3,995"
The A-Team,"$25,669,455","3,535"
Big Momma's House,"$25,661,041","2,802"
About Last Night,"$25,649,011","2,253"
V for Vendetta,"$25,642,340","3,365"
Robin Hood: Prince of Thieves,"$25,625,602","2,369"
Son of God,"$25,601,865","3,260"
Kill Bill: Vol. 2,"$25,600,000","2,971"
Total Recall,"$25,577,758","3,601"
Battleship,"$25,534,825","3,690"
Total Recall,"$25,533,700","2,060"
Penguins of Madagascar,"$25,447,444","3,764"
The Visit,"$25,427,560","3,069"
The Nutty Professor,"$25,411,725","2,115"
The Firm,"$25,400,000","2,393"
Teenage Mutant Ninja Turtles,"$25,398,367","2,006"
Madea's Witness Protection,"$25,390,575","2,161"
Gnomeo & Juliet,"$25,356,909","2,994"
Apollo 13,"$25,353,380","2,197"
Indiana Jones and the Temple of Doom,"$25,337,110","1,687"
Gone in 60 Seconds,"$25,336,048","3,006"
Underworld: Awakening,"$25,306,725","3,078"
Public Enemies,"$25,271,675","3,334"
Patch Adams,"$25,262,280","2,712"
Date Night,"$25,207,599","3,374"
Tomorrow Never Dies,"$25,143,007","2,807"
Meet the Robinsons,"$25,123,781","3,413"
Master and Commander: The Far Side of the World,"$25,105,990","3,101"
The Rock,"$25,069,525","2,392"
Madea's Big Happy Family,"$25,068,677","2,288"
Dr. Dolittle 2,"$25,037,039","3,049"
Blue Beetle,"$25,030,225","3,871"
Vanilla Sky,"$25,015,518","2,742"
Peter Rabbit,"$25,010,928","3,725"
Jack and Jill,"$25,003,575","3,438"
Skyscraper,"$24,905,015","3,782"
Flight,"$24,900,566","1,884"
White House Down,"$24,852,258","3,222"
A Good Day to Die Hard,"$24,834,845","3,553"
True Grit,"$24,830,443","3,047"
The Call of the Wild,"$24,791,624","3,752"
The Other Woman,"$24,763,752","3,205"
Predators,"$24,760,882","2,669"
Zombieland,"$24,733,155","3,036"
10 Cloverfield Lane,"$24,727,437","3,391"
Taken,"$24,717,037","3,183"
The Accountant,"$24,710,273","3,332"
Collateral,"$24,701,458","3,188"
Congo,"$24,642,539","2,649"
The Butler,"$24,637,312","2,933"
The Predator,"$24,632,284","4,037"
Flightplan,"$24,629,938","3,424"
Knowing,"$24,604,751","3,332"
Christopher Robin,"$24,585,139","3,602"
Eraser,"$24,566,446","2,410"
The Girl on the Train,"$24,536,265","3,144"
The Emoji Movie,"$24,531,923","4,075"
Evil Dead Rise,"$24,504,315","3,402"
Pet Sematary,"$24,502,775","3,585"
Act of Valor,"$24,476,632","3,039"
Forrest Gump,"$24,450,602","1,595"
Mean Girls,"$24,432,195","2,839"
Failure to Launch,"$24,411,322","3,057"
Race to Witch Mountain,"$24,402,214","3,187"
Contraband,"$24,349,815","2,863"
The Chronicles of Riddick,"$24,289,165","2,757"
The Haunted Mansion,"$24,278,410","3,122"
The Last Samurai,"$24,271,354","2,908"
TMNT,"$24,255,205","3,110"
No Good Deed,"$24,250,283","2,175"
Barbershop 2: Back in Business,"$24,241,612","2,711"
"Me, Myself & Irene","$24,209,385","3,019"
The Addams Family,"$24,203,754","2,411"
Coach Carter,"$24,182,961","2,524"
Maze Runner: The Death Cure,"$24,167,011","3,787"
Warcraft,"$24,166,110","3,400"
Con Air,"$24,131,738","2,824"
Exodus: Gods and Kings,"$24,115,934","3,503"
White Noise,"$24,113,565","2,261"
21,"$24,105,943","2,648"
The Conjuring: The Devil Made Me Do It,"$24,104,332","3,102"
Haunted Mansion,"$24,082,475","3,740"
Arrival,"$24,074,047","2,317"
Tower Heist,"$24,025,190","3,367"
Pixels,"$24,011,616","3,723"
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$24,005,069","3,555"
Monster-in-Law,"$24,000,000","3,424"
The Fast and the Furious: Tokyo Drift,"$23,973,840","3,027"
The Bad Guys,"$23,950,245","4,008"
Fahrenheit 9/11,"$23,920,637",868
Captain Underpants: The First Epic Movie,"$23,851,539","3,434"
Bad Moms,"$23,817,340","3,215"
The Town,"$23,808,032","2,861"
How to Lose a Guy in 10 Days,"$23,774,850","2,923"
Rise of the Guardians,"$23,773,465","3,653"
Paul Blart: Mall Cop 2,"$23,762,435","3,633"
The Fugitive,"$23,758,855","2,340"
Diary of a Wimpy Kid: Rodrick Rules,"$23,751,502","3,167"
17 Again,"$23,722,310","3,255"
Fury,"$23,702,421","3,173"
Resident Evil: Extinction,"$23,678,580","2,828"
Tomb Raider,"$23,633,317","3,854"
The Black Phone,"$23,633,220","3,150"
Open Season,"$23,624,548","3,833"
Goosebumps,"$23,618,556","3,501"
The Boss,"$23,586,645","3,480"
Dinner for Schmucks,"$23,527,839","2,911"
Mary Poppins Returns,"$23,523,121","4,090"
Dracula Untold,"$23,514,615","2,885"
The Amityville Horror,"$23,507,007","3,323"
Be Cool,"$23,450,212","3,216"
I Can Do Bad All by Myself,"$23,446,785","2,255"
Save the Last Dance,"$23,444,930","2,230"
Once Upon a Time in Mexico,"$23,424,118","3,282"
Face/Off,"$23,387,530","2,621"
The Taking of Pelham 123,"$23,373,102","3,074"
The Polar Express,"$23,323,463","3,650"
Mortal Kombat,"$23,302,503","3,073"
Mortal Kombat,"$23,283,887","2,421"
Cocaine Bear,"$23,260,790","3,534"
Pineapple Express,"$23,245,025","3,072"
Alvin and the Chipmunks: Chipwrecked,"$23,244,744","3,723"
Eragon,"$23,239,907","3,020"
This Is It,"$23,234,394","3,481"
Hellboy,"$23,172,440","3,028"
Double Jeopardy,"$23,162,542","2,547"
Jackass Forever,"$23,154,388","3,604"
The Mask,"$23,117,068","2,360"
Star Trek: Generations,"$23,116,394","2,659"
Eat Pray Love,"$23,104,523","3,082"
The League of Extraordinary Gentlemen,"$23,075,892","3,002"
Smallfoot,"$23,045,635","4,131"
Resident Evil: Apocalypse,"$23,036,273","3,284"
Star Wars: Episode VI - Return of the Jedi,"$23,019,618","1,002"
27 Dresses,"$23,007,725","3,057"
The Haunting in Connecticut,"$23,004,765","2,732"
DC League of Super-Pets,"$23,003,441","4,314"
The Princess Diaries 2: Royal Engagement,"$22,956,453","3,472"
The Game Plan,"$22,950,971","3,103"
Vantage Point,"$22,874,936","3,149"
Jack Reacher: Never Go Back,"$22,872,490","3,780"
The Princess Diaries,"$22,862,269","2,537"
Mission to Mars,"$22,855,247","3,054"
The Interpreter,"$22,822,455","2,758"
Jackass: The Movie,"$22,763,437","2,509"
Man on Fire,"$22,751,490","2,980"
Mulan,"$22,745,143","2,888"
Rugrats in Paris,"$22,718,184","2,934"
Insidious: Chapter 3,"$22,692,741","3,002"
Unstoppable,"$22,688,457","3,207"
Funny People,"$22,657,780","3,007"
Black Mass,"$22,635,037","3,188"
Poltergeist,"$22,620,386","3,240"
The Time Machine,"$22,610,437","2,944"
Smile,"$22,609,925","3,645"
Bridge to Terabithia,"$22,564,612","3,139"
Training Day,"$22,550,788","2,712"
Dick Tracy,"$22,543,911","2,332"
Saw 3D,"$22,530,123","2,808"
The Mask of Zorro,"$22,525,855","2,515"
Heaven Is for Real,"$22,522,221","2,417"
The Lucky One,"$22,518,358","3,155"
Shallow Hal,"$22,518,295","2,770"
Star Wars: Episode I - The Phantom Menace2012 3D Release,"$22,469,932","2,655"
Life of Pi,"$22,451,514","2,927"
The Social Network,"$22,445,653","2,771"
The Patriot,"$22,413,710","3,061"
Contagion,"$22,403,596","3,222"
Now You See Me 2,"$22,383,146","3,232"
Walk the Line,"$22,347,341","2,961"
The General's Daughter,"$22,332,053","2,856"
Sing 2,"$22,326,230","3,892"
Planes,"$22,232,291","3,702"
Disturbia,"$22,224,982","2,925"
"Legally Blonde 2: Red, White & Blonde","$22,220,670","3,350"
Monster House,"$22,217,226","3,553"
Freaky Friday,"$22,203,007","2,954"
Kill Bill: Vol. 1,"$22,200,000","3,102"
Die Hard with a Vengeance,"$22,162,245","2,525"
Poseidon,"$22,155,410","3,555"
Diary of a Wimpy Kid,"$22,126,166","3,077"
Ghost Rider: Spirit of Vengeance,"$22,115,334","3,174"
It's Complicated,"$22,100,820","2,887"
Ladder 49,"$22,088,204","3,260"
Road to Perdition,"$22,079,481","1,797"
Starship Troopers,"$22,058,773","2,971"
Star Trek: Insurrection,"$22,052,836","2,620"
Chronicle,"$22,004,098","2,907"
The Monuments Men,"$22,003,433","3,083"
Candyman,"$22,001,750","3,569"
Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,"$21,975,993","2,111"
Hide and Seek,"$21,959,233","3,005"
Diary of a Mad Black Woman,"$21,905,089","1,483"
Inspector Gadget,"$21,889,138","2,814"
Unknown,"$21,856,389","3,043"
Dolittle,"$21,844,045","4,155"
Stomp the Yard,"$21,833,312","2,051"
Notting Hill,"$21,811,180","2,747"
Lara Croft: Tomb Raider - The Cradle of Life,"$21,783,641","3,222"
RED,"$21,761,408","3,255"
Neighbors 2: Sorority Rising,"$21,760,405","3,384"
Underworld,"$21,753,759","2,915"
Die Hard 2,"$21,744,661","2,507"
Texas Chainsaw,"$21,744,470","2,654"
Garfield,"$21,727,611","3,094"
Shaft,"$21,714,757","2,337"
Cats & Dogs,"$21,707,617","3,040"
Eyes Wide Shut,"$21,706,163","2,411"
Spy Game,"$21,689,125","2,770"
Lights Out,"$21,688,103","2,818"
RoboCop,"$21,681,430","3,372"
My Best Friend's Wedding,"$21,678,377","2,134"
Bumblebee,"$21,654,047","3,550"
Temptation: Confessions of a Marriage Counselor,"$21,641,679","2,047"
London Has Fallen,"$21,635,601","3,490"
Little Man,"$21,613,176","2,533"
When a Stranger Calls,"$21,607,203","2,999"
Fool's Gold,"$21,589,295","3,125"
Tammy,"$21,577,049","3,465"
Christmas with the Kranks,"$21,570,867","3,393"
"You, Me and Dupree","$21,525,560","3,131"
Pete's Dragon,"$21,514,095","3,702"
American Reunion,"$21,514,080","3,192"
Cruella,"$21,496,997","3,892"
The 40-Year-Old Virgin,"$21,422,815","2,845"
The Stepford Wives,"$21,406,781","3,057"
Good Boys,"$21,402,605","3,204"
Safe Haven,"$21,401,594","3,223"
The Forbidden Kingdom,"$21,401,121","3,151"
The Hitman's Bodyguard,"$21,384,504","3,377"
Angel Has Fallen,"$21,380,987","3,286"
Ice Age: Collision Course,"$21,373,064","3,992"
Why Did I Get Married?,"$21,353,789","2,011"
Turbo,"$21,312,625","3,806"
Storks,"$21,311,407","3,922"
My Bloody Valentine,"$21,241,456","2,534"
Happy Feet Two,"$21,237,068","3,606"
Demon Slayer the Movie: Mugen Train,"$21,234,994","1,614"
Boo 2! A Madea Halloween,"$21,226,953","2,388"
Payback,"$21,221,526","2,729"
Four Brothers,"$21,176,925","2,533"
Waterworld,"$21,171,780","2,268"
The Adjustment Bureau,"$21,157,730","2,840"
Dragon Ball Super: Super Hero,"$21,126,919","3,018"
The Hitchhiker's Guide to the Galaxy,"$21,103,203","3,133"
Bride Wars,"$21,058,173","3,226"
13 Going on 30,"$21,054,283","3,438"
Resident Evil: Retribution,"$21,052,227","3,012"
Project X,"$21,051,363","3,055"
Law Abiding Citizen,"$21,039,502","2,890"
The Hunchback of Notre Dame,"$21,037,414","2,778"
