name,openinggross,theathers
The Hobbit: The Desolation of Smaug,"$73,645,197","3,903"
Austin Powers in Goldmember,"$73,071,188","3,613"
The Lord of the Rings: The Return of the King,"$72,629,713","3,703"
Dawn of the Planet of the Apes,"$72,611,427","3,967"
Despicable Me 3,"$72,434,025","4,529"
The Lost World: Jurassic Park,"$72,132,785","3,281"
Sonic the Hedgehog 2,"$72,105,176","4,234"
Eternals,"$71,297,219","4,090"
Us,"$71,117,625","3,741"
Fast & Furious,"$70,950,500","3,461"
300,"$70,885,301","3,103"
Shrek Forever After,"$70,838,207","4,359"
Transformers,"$70,502,384","4,011"
The Incredibles,"$70,467,623","3,933"
Spectre,"$70,403,148","3,929"
Finding Nemo,"$70,251,710","3,374"
The Lorax,"$70,217,070","3,729"
Star Trek Into Darkness,"$70,165,559","3,868"
F9: The Fast Saga,"$70,043,165","4,179"
Twilight,"$69,637,740","3,419"
Maleficent,"$69,431,298","3,948"
The Bourne Ultimatum,"$69,283,690","3,660"
Pitch Perfect 2,"$69,216,890","3,473"
The Lego Movie,"$69,050,279","3,775"
The Day After Tomorrow,"$68,743,584","3,425"
Planet of the Apes,"$68,532,960","3,500"
The Mummy Returns,"$68,139,035","3,401"
Up,"$68,108,790","3,766"
Ice Age: The Meltdown,"$68,033,544","3,964"
Bruce Almighty,"$67,953,330","3,483"
Cinderella,"$67,877,361","3,845"
Aquaman,"$67,873,522","4,125"
The Grinch,"$67,572,855","4,141"
Quantum of Solace,"$67,528,882","3,451"
Rush Hour 2,"$67,408,222","3,118"
Fast X,"$67,017,410","4,046"
Black Adam,"$67,004,323","4,402"
World War Z,"$66,411,834","3,607"
Brave,"$66,323,594","4,164"
Cars 2,"$66,135,507","4,115"
X-Men: Apocalypse,"$65,769,562","4,150"
Thor,"$65,723,338","3,955"
Teenage Mutant Ninja Turtles,"$65,575,105","3,845"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$65,556,312","3,616"
2012,"$65,237,614","3,404"
Captain America: The First Avenger,"$65,058,524","3,715"
War of the Worlds,"$64,878,725","3,908"
The Twilight Saga: Eclipse,"$64,832,191","4,468"
Star Wars: Episode I - The Phantom Menace,"$64,820,970","2,970"
Madagascar: Escape 2 Africa,"$63,106,589","4,056"
WALL·E,"$63,087,526","3,992"
Pirates of the Caribbean: Dead Men Tell No Tales,"$62,983,253","4,276"
Inception,"$62,785,337","3,792"
Hancock,"$62,603,879","3,965"
"Monsters, Inc.","$62,577,067","3,237"
Bad Boys for Life,"$62,504,105","3,775"
Sherlock Holmes,"$62,304,277","3,626"
Fantastic Beasts: The Crimes of Grindelwald,"$62,163,104","4,163"
Hulk,"$62,128,420","3,660"
The Lord of the Rings: The Two Towers,"$62,007,528","3,622"
The Amazing Spider-Man,"$62,004,688","4,318"
Mission: Impossible - Fallout,"$61,236,534","4,386"
Clash of the Titans,"$61,235,105","3,777"
Transformers: Rise of the Beasts,"$61,045,464","3,678"
Kong: Skull Island,"$61,025,472","3,846"
Indiana Jones and the Dial of Destiny,"$60,368,101","4,600"
Madagascar 3: Europe's Most Wanted,"$60,316,738","4,258"
Kung Fu Panda,"$60,239,130","4,114"
Straight Outta Compton,"$60,200,180","2,757"
Cars,"$60,119,509","3,985"
Signs,"$60,117,080","3,264"
Fast & Furious Presents: Hobbs & Shaw,"$60,038,950","4,253"
Monsters vs. Aliens,"$59,321,095","4,104"
Star Trek Beyond,"$59,253,211","3,928"
Jumanji: The Next Level,"$59,251,543","4,227"
Jason Bourne,"$59,215,365","4,026"
Pearl Harbor,"$59,078,912","3,214"
Creed III,"$58,370,007","4,007"
Fantastic Four: Rise of the Silver Surfer,"$58,051,684","3,959"
Sonic the Hedgehog,"$58,018,348","4,167"
Hannibal,"$58,003,121","3,230"
Mission: Impossible II,"$57,845,297","3,653"
Ant-Man,"$57,225,526","3,856"
22 Jump Street,"$57,071,445","3,306"
Sex and the City,"$57,038,404","3,285"
John Wick: Chapter 3 - Parabellum,"$56,818,067","3,850"
Moana,"$56,631,401","3,875"
Despicable Me,"$56,397,125","3,476"
War for the Planet of the Apes,"$56,262,929","4,022"
Valentine's Day,"$56,260,707","3,665"
Ralph Breaks the Internet,"$56,237,634","4,017"
Snow White and the Huntsman,"$56,217,700","3,773"
Big Hero 6,"$56,215,889","3,761"
Charlie and the Chocolate Factory,"$56,178,450","3,770"
Fantastic Four,"$56,061,504","3,602"
Gravity,"$55,785,112","3,575"
The Karate Kid,"$55,665,805","3,663"
Mission: Impossible - Rogue Nation,"$55,520,089","3,956"
The Incredible Hulk,"$55,414,050","3,505"
The SpongeBob Movie: Sponge Out of Water,"$55,365,012","3,641"
No Time to Die,"$55,225,007","4,407"
Watchmen,"$55,214,334","3,611"
X-Men: First Class,"$55,101,604","3,641"
How the Grinch Stole Christmas,"$55,082,330","3,127"
The Flash,"$55,043,679","4,234"
The Chronicles of Narnia: Prince Caspian,"$55,034,805","3,929"
How to Train Your Dragon: The Hidden World,"$55,022,245","4,259"
Austin Powers: The Spy Who Shagged Me,"$54,917,604","3,312"
Rise of the Planet of the Apes,"$54,806,191","3,648"
The Hobbit: The Battle of the Five Armies,"$54,724,334","3,875"
G.I. Joe: The Rise of Cobra,"$54,713,046","4,007"
Mission: Impossible - Dead Reckoning Part One,"$54,688,347","4,327"
Divergent,"$54,607,747","3,936"
Men in Black 3,"$54,592,779","4,248"
San Andreas,"$54,588,173","3,777"
X-Men,"$54,471,475","3,025"
Ted,"$54,415,205","3,239"
Pokémon: Detective Pikachu,"$54,365,242","4,202"
The Martian,"$54,308,575","3,831"
Night at the Museum: Battle of the Smithsonian,"$54,173,286","4,096"
Scooby-Doo,"$54,155,312","3,447"
The Nun,"$53,807,379","3,876"
Cars 3,"$53,688,680","4,256"
Shazam!,"$53,505,326","4,217"
Green Lantern,"$53,174,303","3,816"
The Wolverine,"$53,113,752","3,924"
The Lego Batman Movie,"$53,003,468","4,088"
Batman Forever,"$52,784,433","2,842"
Paranormal Activity 3,"$52,568,183","3,321"
Superman Returns,"$52,535,096","4,065"
The Bourne Supremacy,"$52,521,865","3,165"
The Divergent Series: Insurgent,"$52,263,680","3,875"
"I, Robot","$52,179,887","3,420"
Men in Black II,"$52,148,751","3,557"
Home,"$52,107,731","3,708"
Van Helsing,"$51,748,040","3,575"
8 Mile,"$51,240,555","2,470"
Men in Black,"$51,068,455","3,020"
Bohemian Rhapsody,"$51,061,119","4,000"
Prometheus,"$51,050,101","3,396"
Wanted,"$50,927,085","3,175"
Coco,"$50,802,605","3,987"
Jurassic Park III,"$50,771,645","3,434"
The Village,"$50,746,142","3,730"
Lightyear,"$50,577,961","4,255"
Dunkirk,"$50,513,488","3,720"
2 Fast 2 Furious,"$50,472,480","3,408"
Jackass 3D,"$50,353,641","3,081"
Mr. & Mrs. Smith,"$50,342,878","3,424"
Rush Hour 3,"$50,237,000","3,778"
Independence Day,"$50,228,264","2,882"
A Quiet Place,"$50,203,562","3,508"
The Boss Baby,"$50,198,902","3,773"
King Kong,"$50,130,145","3,568"
The Great Gatsby,"$50,085,185","3,535"
Scary Movie 3,"$49,700,000","3,505"
Taken 2,"$49,514,769","3,661"
How to Train Your Dragon 2,"$49,451,322","4,253"
Halloween Kills,"$49,404,980","3,705"
Wreck-It Ralph,"$49,038,712","3,752"
Neighbors,"$49,033,915","3,279"
Alvin and the Chipmunks: The Squeakquel,"$48,875,415","3,700"
Tangled,"$48,767,052","3,603"
Batman Begins,"$48,745,440","3,858"
The Matrix Revolutions,"$48,475,154","3,502"
Hotel Transylvania 2,"$48,464,322","3,754"
The Fault in Our Stars,"$48,002,523","3,173"
Godzilla: King of the Monsters,"$47,776,293","4,108"
Mission: Impossible III,"$47,743,273","4,054"
Lara Croft: Tomb Raider,"$47,735,743","3,308"
Kung Fu Panda 2,"$47,656,302","3,925"
The Longest Yard,"$47,606,480","3,634"
Shark Tale,"$47,604,606","4,016"
A Quiet Place Part II,"$47,547,231","3,726"
Interstellar,"$47,510,360","3,561"
Madagascar,"$47,224,594","4,131"
The Lord of the Rings: The Fellowship of the Ring,"$47,211,490","3,359"
Die Another Day,"$47,072,040","3,314"
Talladega Nights: The Ballad of Ricky Bobby,"$47,042,215","3,803"
Ratatouille,"$47,027,395","3,940"
Jurassic Park,"$47,026,828","2,404"
Troy,"$46,865,412","3,411"
The Secret Life of Pets 2,"$46,652,680","4,561"
Pirates of the Caribbean: The Curse of the Black Pearl,"$46,630,690","3,269"
Ice Age: Continental Drift,"$46,629,259","3,881"
Fifty Shades Darker,"$46,607,250","3,710"
Trolls,"$46,581,142","4,060"
Bad Boys II,"$46,522,560","3,186"
Ice Age,"$46,312,454","3,316"
Angels & Demons,"$46,204,168","3,527"
Meet the Fockers,"$46,120,980","3,518"
Ghostbusters,"$46,018,755","3,963"
Megamind,"$46,016,833","3,944"
Dumbo,"$45,990,748","4,259"
Batman Returns,"$45,687,711","2,644"
Mission: Impossible,"$45,436,830","3,012"
Mad Max: Fury Road,"$45,428,128","3,702"
The Meg,"$45,402,195","4,118"
Ghost Rider,"$45,388,836","3,619"
American Pie 2,"$45,117,985","3,063"
300: Rise of an Empire,"$45,038,460","3,470"
Horton Hears a Who!,"$45,012,998","3,954"
The Hangover,"$44,979,319","3,269"
National Treasure: Book of Secrets,"$44,783,772","3,832"
Transformers: The Last Knight,"$44,680,073","4,069"
xXx,"$44,506,103","3,374"
Scream VI,"$44,447,270","3,675"
Nope,"$44,366,910","3,785"
Alvin and the Chipmunks,"$44,307,417","3,475"
The Peanuts Movie,"$44,213,073","3,897"
Hotel Transylvania 3: Summer Vacation,"$44,076,225","4,267"
Godzilla,"$44,047,541","3,310"
Terminator 3: Rise of the Machines,"$44,041,440","3,504"
TRON: Legacy,"$44,026,211","3,451"
Uncharted,"$44,010,155","4,275"
