"name","openinggross","theathers","tconst","titleType","originalTitle","isAdult","startYear","runtimeMinutes","genres","nconst","primaryName","primaryProfession","knownForTitles"
"G.I. Joe: The Rise of Cobra","$54,713,046",4007,"tt1046173","movie","G.I. Joe: The Rise of Cobra",FALSE,2009,118,"Action,Adventure,Sci-Fi","nm0814085","Stephen Sommers","producer,writer,director","tt0120616,tt1046173,tt1767354,tt0118956"
"Mission: Impossible - Dead Reckoning Part One","$54,688,347",4327,"tt28241739","tvEpisode","Mission: Impossible - Dead Reckoning Part One",FALSE,2023,NA,"Talk-Show","\N",NA,NA,NA
"Divergent","$54,607,747",3936,"tt11306806","tvEpisode","Divergent",FALSE,2019,NA,"Drama","nm1134094","Amy Coop","assistant_director,director,miscellaneous","tt3721524,tt0365686,tt2623058,tt11265730"
"Men in Black 3","$54,592,779",4248,"tt1409024","movie","Men in Black 3",FALSE,2012,106,"Action,Adventure,Comedy","nm0001756","Barry Sonnenfeld","producer,director,cinematographer","tt0119654,tt1409024,tt0120891,tt0106220"
"San Andreas","$54,588,173",3777,"tt11929058","tvEpisode","San Andreas",FALSE,2017,19,"Comedy,Crime","nm4489288","Lewis Brindley","writer,director,actor","tt9257880,tt3684748,tt8526968,tt8526888"
"X-Men","$54,471,475",3025,"tt0120903","movie","X-Men",FALSE,2000,104,"Action,Adventure,Sci-Fi","nm0001741","Bryan Singer","producer,director,actor","tt0114814,tt0120903,tt0348150,tt1877832"
"Ted","$54,415,205",3239,"tt0159787","movie","Ted",FALSE,1998,85,"Comedy","nm0253990","Gary Ellenberg","actor,director,writer","tt0214734,tt0214994,tt0159787,tt21230656"
"Pokémon: Detective Pikachu","$54,365,242",4202,"tt10328382","tvEpisode","Pokémon: Detective Pikachu",FALSE,2019,NA,"Comedy,Talk-Show","nm7381138","Torey Gerace","producer,director,writer","tt12302286,tt26659708,tt20854012,tt11575108"
"The Martian","$54,308,575",3831,"tt0683225","tvEpisode","The Martian",FALSE,1992,22,"Drama,Fantasy,Horror","nm0923768","Anne Wheeler","director,producer,writer","tt9012876,tt0096999,tt5421602,tt2378513"
"Night at the Museum: Battle of the Smithsonian","$54,173,286",4096,"tt1078912","movie","Night at the Museum: Battle of the Smithsonian",FALSE,2009,105,"Adventure,Comedy,Family","nm0506613","Shawn Levy","producer,director,actor","tt2543164,tt6264654,tt2463208,tt1714206"
"Scooby-Doo","$54,155,312",3447,"tt0267913","movie","Scooby-Doo",FALSE,2002,89,"Adventure,Comedy,Family","nm0331532","Raja Gosnell","editor,director,editorial_department","tt0331632,tt0267913,tt0151738,tt0208003"
"The Nun","$53,807,379",3876,"tt0060891","movie","La religieuse",FALSE,1966,140,"Drama","nm0729626","Jacques Rivette","director,writer,actor","tt0094709,tt0054156,tt0242994,tt0101428"
"Cars 3","$53,688,680",4256,"tt11951680","tvEpisode","Cars 3",FALSE,2018,7,"Animation,Reality-TV,Talk-Show","nm7829932","Mitchell Tansell","writer,actor,director","tt5628452,tt5619292,tt8263974,tt10415496"
"Shazam!","$53,505,326",4217,"tt0071050","tvSeries","Shazam!",FALSE,1974,30,"Action,Family,Fantasy","nm0607612,nm0618834,nm0001888,nm0491852,nm0679013,nm0155482,nm0486063",NA,NA,NA
"Green Lantern","$53,174,303",3816,"tt11199386","tvSeries","Green Lantern",FALSE,NA,NA,"Action,Adventure,Drama","nm1767218","Lee Toland Krieger","producer,director,writer","tt1405365,tt1183921,tt1655441,tt0433364"
"The Wolverine","$53,113,752",3924,"tt0180313","movie","The Wolverine",FALSE,1921,NA,"Western","nm0078340","William Bertram","actor,director,writer","tt0008366,tt0018261,tt0010521,tt0005802"
"The Lego Batman Movie","$53,003,468",4088,"tt10969748","tvEpisode","The Lego Batman Movie",FALSE,2017,NA,"Comedy,Talk-Show","nm5803889","Jack Vogt","writer,director,producer","tt3038034,tt10950118,tt9407344,tt26912883"
"Batman Forever","$52,784,433",2842,"tt0112462","movie","Batman Forever",FALSE,1995,121,"Action,Adventure","nm0001708","Joel Schumacher","director,writer,producer","tt0183649,tt0134273,tt0118688,tt0293508"
"Paranormal Activity 3","$52,568,183",3321,"tt1778304","movie","Paranormal Activity 3",FALSE,2011,83,"Horror,Mystery,Thriller","nm1160962,nm1413364",NA,NA,NA
"Superman Returns","$52,535,096",4065,"tt0348150","movie","Superman Returns",FALSE,2006,154,"Action,Adventure,Sci-Fi","nm0001741","Bryan Singer","producer,director,actor","tt0114814,tt0120903,tt0348150,tt1877832"
"The Bourne Supremacy","$52,521,865",3165,"tt0372183","movie","The Bourne Supremacy",FALSE,2004,108,"Action,Mystery,Thriller","nm0339030","Paul Greengrass","director,producer,writer","tt0440963,tt0475276,tt6878306,tt7280898"
"The Divergent Series: Insurgent","$52,263,680",3875,"tt2908446","movie","Insurgent",FALSE,2015,119,"Action,Adventure,Sci-Fi","nm0777881","Robert Schwentke","director,writer,soundtrack","tt0297871,tt0790736,tt1245526,tt6763252"
"I, Robot","$52,179,887",3420,"tt0343818","movie","I, Robot",FALSE,2004,115,"Action,Mystery,Sci-Fi","nm0001639","Alex Proyas","director,producer,writer","tt0118929,tt0343818,tt0109506,tt0448011"
"Men in Black II","$52,148,751",3557,"tt0120912","movie","Men in Black II",FALSE,2002,88,"Action,Adventure,Comedy","nm0001756","Barry Sonnenfeld","producer,director,cinematographer","tt0119654,tt1409024,tt0120891,tt0106220"
"Home","$52,107,731",3708,"tt0001682","short","Home",FALSE,1911,NA,"Drama,Short","nm0002177","Oscar Apfel","actor,director,writer","tt0021873,tt0004635,tt0006403,tt0007028"
"Van Helsing","$51,748,040",3575,"tt0338526","movie","Van Helsing",FALSE,2004,131,"Action,Adventure,Fantasy","nm0814085","Stephen Sommers","producer,writer,director","tt0120616,tt1046173,tt1767354,tt0118956"
"8 Mile","$51,240,555",2470,"tt0298203","movie","8 Mile",FALSE,2002,110,"Drama,Music","nm0000436","Curtis Hanson","director,producer,writer","tt0104389,tt0119488,tt0185014,tt0388125"
"Men in Black","$51,068,455",3020,"tt0025488","short","Men in Black",FALSE,1934,19,"Comedy,Short","nm0564971","Ray McCarey","director,assistant_director,writer","tt0032045,tt0033279,tt0040384,tt0026756"
"Bohemian Rhapsody","$51,061,119",4000,"tt0720056","tvEpisode","Bohemian Rhapsody",FALSE,2005,22,"Comedy,Drama,Romance","nm0870699","David Trainer","director,producer,writer","tt0165598,tt0112075,tt0090418,tt0346222"
"Prometheus","$51,050,101",3396,"tt0119956","movie","Prometheus",FALSE,1998,130,"Drama,Family,Fantasy","nm0365912","Tony Harrison","writer,director","tt1176471,tt0119956,tt3313046,tt5524714"
"Wanted","$50,927,085",3175,"tt0047785","tvSeries","Wanted",FALSE,1955,30,"Crime,Drama","nm6783690","Bruce Anderson","director","tt0047785,tt0052459,tt0043213"
"Coco","$50,802,605",3987,"tt0353313","short","Coco",FALSE,2000,2,"Animation,Comedy,Short","nm1321887,nm0653144",NA,NA,NA
"Jurassic Park III","$50,771,645",3434,"tt0163025","movie","Jurassic Park III",FALSE,2001,92,"Action,Adventure,Sci-Fi","nm0002653","Joe Johnston","director,visual_effects,producer","tt0102803,tt0132477,tt0082971,tt0458339"
"The Village","$50,746,142",3730,"tt0044799","movie","Sie fanden eine Heimat",FALSE,1953,98,"Drama","nm0512548","Leopold Lindtberg","director,writer,miscellaneous","tt0037871,tt0127681,tt0044799,tt0032801"
"Lightyear","$50,577,961",4255,"tt10298810","movie","Lightyear",FALSE,2022,105,"Action,Adventure,Animation","nm0533691","Angus MacLane","animation_department,actor,director","tt2277860,tt2446040,tt0317705,tt10298810"
"Dunkirk","$50,513,488",3720,"tt0051565","movie","Dunkirk",FALSE,1958,135,"Action,Drama,History","nm0635554","Leslie Norman","director,editor,producer","tt0054037,tt0063893,tt0022136,tt0054518"
"2 Fast 2 Furious","$50,472,480",3408,"tt0322259","movie","2 Fast 2 Furious",FALSE,2003,107,"Action,Crime,Thriller","nm0005436","John Singleton","producer,writer,director","tt0162650,tt0430105,tt0101507,tt0255819"
"Jackass 3D","$50,353,641",3081,"tt1116184","movie","Jackass 3D",FALSE,2010,94,"Action,Comedy,Documentary","nm0871860","Jeff Tremaine","writer,producer,director","tt3063516,tt0800325,tt1116184,tt9684220"
"Mr. & Mrs. Smith","$50,342,878",3424,"tt0033922","movie","Mr. & Mrs. Smith",FALSE,1941,95,"Comedy,Romance","nm0000033","Alfred Hitchcock","director,producer,writer","tt0054215,tt0056869,tt0053125,tt0052357"
"Rush Hour 3","$50,237,000",3778,"tt0293564","movie","Rush Hour 3",FALSE,2007,91,"Action,Comedy,Crime","nm0711840","Brett Ratner","producer,director,music_department","tt0120812,tt0376994,tt1267297,tt0289765"
"Independence Day","$50,228,264",2882,"tt0073165","movie","Independence Day",FALSE,1976,87,"Drama","nm0744794","Bobby Roth","director,producer,writer","tt0455275,tt5246438,tt0087397,tt12325668"
"A Quiet Place","$50,203,562",3508,"tt0603836","tvEpisode","A Quiet Place",FALSE,1975,NA,"Action,Crime,Drama","nm0828350","David Stevens","director,writer,producer","tt0080310,tt0111309,tt0129685,tt0130414"
"The Boss Baby","$50,198,902",3773,"tt11951540","tvEpisode","The Boss Baby",FALSE,2018,4,"Animation,Reality-TV,Talk-Show","nm7829932","Mitchell Tansell","writer,actor,director","tt5628452,tt5619292,tt8263974,tt10415496"
"King Kong","$50,130,145",3568,"tt0024216","movie","King Kong",FALSE,1933,100,"Adventure,Horror,Sci-Fi","nm0178260,nm0774325",NA,NA,NA
"The Great Gatsby","$50,085,185",3535,"tt0016938","movie","The Great Gatsby",FALSE,1926,80,"Drama","nm0107543","Herbert Brenon","director,writer,actor","tt0002104,tt0016634,tt0003022,tt0018429"
"Scary Movie 3","$49,700,000",3505,"tt0306047","movie","Scary Movie 3",FALSE,2003,84,"Comedy","nm0001878","David Zucker","writer,producer,director","tt0080339,tt0088286,tt0102510,tt0362120"
"Taken 2","$49,514,769",3661,"tt13454610","tvEpisode","Taken 2",FALSE,2019,13,"Comedy,Documentary,Mystery","\N",NA,NA,NA
"How to Train Your Dragon 2","$49,451,322",4253,"tt1646971","movie","How to Train Your Dragon 2",FALSE,2014,102,"Action,Adventure,Animation","nm0213450","Dean DeBlois","writer,art_department,animation_department","tt2386490,tt0892769,tt0275847,tt1646971"
"Halloween Kills","$49,404,980",3705,"tt10665338","movie","Halloween Kills",FALSE,2021,105,"Action,Horror,Thriller","nm0337773","David Gordon Green","producer,director,writer","tt10665338,tt2195548,tt1502407,tt2382396"
"Wreck-It Ralph","$49,038,712",3752,"tt14818690","tvEpisode","Wreck-It Ralph",FALSE,2021,7,"Animation,Talk-Show","nm10233445","Nathan Holmes-King","producer,actor,director","tt21861774,tt23017260,tt22883616,tt14624024"
"Neighbors","$49,033,915",3279,"tt0002387","short","Neighbors",FALSE,1912,6,"Comedy,Short","nm0784407","Mack Sennett","producer,actor,director","tt0012701,tt0023040,tt0018951,tt0229411"
"Alvin and the Chipmunks: The Squeakquel","$48,875,415",3700,"tt10766720","tvEpisode","Alvin and the Chipmunks: The Squeakquel",FALSE,2019,NA,"Music","nm5456288","Raqi Lily","producer,director,assistant_director","tt4366170,tt11207736,tt10288502,tt9466198"
"Tangled","$48,767,052",3603,"tt0117831","movie","Tangled",FALSE,1997,95,"Drama","nm1369904","Toni Sherwood","producer,director,writer","tt3922610,tt3922608,tt0117831,tt0488430"
"Batman Begins","$48,745,440",3858,"tt0372784","movie","Batman Begins",FALSE,2005,140,"Action,Crime,Drama","nm0634240","Christopher Nolan","writer,producer,director","tt1375666,tt6723592,tt0816692,tt5013056"
"The Matrix Revolutions","$48,475,154",3502,"tt0242653","movie","The Matrix Revolutions",FALSE,2003,129,"Action,Sci-Fi","nm0905154,nm0905152",NA,NA,NA
"Hotel Transylvania 2","$48,464,322",3754,"tt0141208","movie","Hotel Transylvania 2",TRUE,1990,73,"Adult","nm0211487","Charles Webb","director,producer,cinematographer","tt0135232,tt0125159,tt0132409,tt0131290"
"The Fault in Our Stars","$48,002,523",3173,"tt0656848","tvEpisode","The Fault in Our Stars",FALSE,1961,60,"Crime,Drama,Thriller","nm0334353","William A. Graham","director,producer,writer","tt0831400,tt0102782,tt0446859,tt0106179"
"Godzilla: King of the Monsters","$47,776,293",4108,"tt10405962","tvEpisode","Godzilla: King of the Monsters",FALSE,2019,NA,"Comedy,Talk-Show","\N",NA,NA,NA
"Mission: Impossible III","$47,743,273",4054,"tt0317919","movie","Mission: Impossible III",FALSE,2006,126,"Action,Adventure,Thriller","nm0009190","J.J. Abrams","producer,writer,music_department","tt0796366,tt2527338,tt2488496,tt0411008"
"Lara Croft: Tomb Raider","$47,735,743",3308,"tt0146316","movie","Lara Croft: Tomb Raider",FALSE,2001,100,"Action,Adventure,Fantasy","nm0922346","Simon West","director,producer,actor","tt0118880,tt0144214,tt0146316,tt0472399"
"Kung Fu Panda 2","$47,656,302",3925,"tt1302011","movie","Kung Fu Panda 2",FALSE,2011,90,"Action,Adventure,Animation","nm0950775","Jennifer Yuh Nelson","art_department,animation_department,director","tt0441773,tt0118475,tt1302011,tt9561862"
"The Longest Yard","$47,606,480",3634,"tt0071771","movie","The Longest Yard",FALSE,1974,121,"Comedy,Crime,Drama","nm0000736","Robert Aldrich","director,assistant_director,producer","tt0070030,tt0071771,tt0056687,tt0061578"
"Shark Tale","$47,604,606",4016,"tt0307453","movie","Shark Tale",FALSE,2004,90,"Adventure,Animation,Comedy","nm0074426,nm0421776,nm1224299",NA,NA,NA
"A Quiet Place Part II","$47,547,231",3726,"tt11950516","tvEpisode","A Quiet Place Part II",FALSE,2020,NA,"Talk-Show","\N",NA,NA,NA
"Interstellar","$47,510,360",3561,"tt0758429","short","Interstellar",FALSE,2005,7,"Drama,Sci-Fi,Short","nm0003095","Michael Yaroshevsky","director,cinematographer,producer","tt0330765,tt4128118,tt6969764,tt1322293"
"Madagascar","$47,224,594",4131,"tt0110427","movie","Madagascar",FALSE,1995,50,"Drama","nm0702148","Fernando Pérez","director,writer,actor","tt0110427,tt0192745,tt5065762,tt0384566"
"The Lord of the Rings: The Fellowship of the Ring","$47,211,490",3359,"tt0120737","movie","The Lord of the Rings: The Fellowship of the Ring",FALSE,2001,178,"Action,Adventure,Drama","nm0001392","Peter Jackson","producer,director,writer","tt0167261,tt0092610,tt0120737,tt0167260"
"Die Another Day","$47,072,040",3314,"tt0246460","movie","Die Another Day",FALSE,2002,133,"Action,Adventure,Thriller","nm0848414","Lee Tamahori","director,assistant_director,sound_department","tt0110729,tt0119051,tt0329774,tt0435705"
"Talladega Nights: The Ballad of Ricky Bobby","$47,042,215",3803,"tt0415306","movie","Talladega Nights: The Ballad of Ricky Bobby",FALSE,2006,108,"Comedy,Sport","nm0570912","Adam McKay","producer,writer,director","tt1596363,tt11286314,tt1386588,tt6266538"
"Ratatouille","$47,027,395",3940,"tt0382932","movie","Ratatouille",FALSE,2007,111,"Adventure,Animation,Comedy","nm0083348,nm0684342",NA,NA,NA
"Jurassic Park","$47,026,828",2404,"tt0107290","movie","Jurassic Park",FALSE,1993,127,"Action,Adventure,Sci-Fi","nm0000229","Steven Spielberg","producer,writer,director","tt0108052,tt0082971,tt0083866,tt0120815"
"Troy","$46,865,412",3411,"tt0332452","movie","Troy",FALSE,2004,163,"Drama","nm0000583","Wolfgang Petersen","director,producer,writer","tt0118571,tt0089092,tt0114069,tt0082096"
"The Secret Life of Pets 2","$46,652,680",4561,"tt10374686","tvEpisode","The Secret Life of Pets 2",FALSE,2019,NA,"Talk-Show","\N",NA,NA,NA
"Pirates of the Caribbean: The Curse of the Black Pearl","$46,630,690",3269,"tt0325980","movie","Pirates of the Caribbean: The Curse of the Black Pearl",FALSE,2003,143,"Action,Adventure,Fantasy","nm0893659","Gore Verbinski","director,producer,writer","tt1192628,tt0325980,tt4731136,tt1210819"
"Ice Age: Continental Drift","$46,629,259",3881,"tt1667889","movie","Ice Age: Continental Drift",FALSE,2012,88,"Adventure,Animation,Comedy","nm0553942,nm0862211",NA,NA,NA
"Fifty Shades Darker","$46,607,250",3710,"tt21339962","video","Fifty Shades Darker",FALSE,2012,NA,"Drama","\N",NA,NA,NA
"Trolls","$46,581,142",4060,"tt0550622","tvEpisode","Trolls",FALSE,1988,23,"Action,Adventure,Drama","nm0586198","George Mihalka","director,producer,miscellaneous","tt0082782,tt1540404,tt0088830,tt0106931"
"Bad Boys II","$46,522,560",3186,"tt0172156","movie","Bad Boys II",FALSE,2003,147,"Action,Comedy,Crime","nm0000881","Michael Bay","producer,director,actor","tt0117500,tt0120591,tt1055369,tt2109248"
"Ice Age","$46,312,454",3316,"tt0071672","movie","Eiszeit",FALSE,1975,115,"Drama","nm0951731","Peter Zadek","director,writer,actor","tt0071672,tt0067603,tt0063122,tt0276410"
"Angels & Demons","$46,204,168",3527,"tt0808151","movie","Angels & Demons",FALSE,2009,138,"Action,Mystery,Thriller","nm0000165","Ron Howard","producer,actor,writer","tt0367279,tt0075213,tt0112384,tt0268978"
"Meet the Fockers","$46,120,980",3518,"tt0290002","movie","Meet the Fockers",FALSE,2004,115,"Comedy,Romance","nm0005366","Jay Roach","producer,director,writer","tt0109303,tt6394270,tt0118655,tt3203606"
"Ghostbusters","$46,018,755",3963,"tt0087332","movie","Ghostbusters",FALSE,1984,105,"Action,Comedy,Fantasy","nm0718645","Ivan Reitman","producer,miscellaneous,director","tt0087332,tt0105477,tt0082509,tt1193138"
"Megamind","$46,016,833",3944,"tt1001526","movie","Megamind",FALSE,2010,95,"Action,Animation,Comedy","nm0569891","Tom McGrath","writer,actor,animation_department","tt0479952,tt1277953,tt0351283,tt1911658"
"Dumbo","$45,990,748",4259,"tt0033563","movie","Dumbo",FALSE,1941,64,"Adventure,Animation,Drama","nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313,nm0254675",NA,NA,NA
"Batman Returns","$45,687,711",2644,"tt0103776","movie","Batman Returns",FALSE,1992,126,"Action,Crime,Fantasy","nm0000318","Tim Burton","producer,miscellaneous,director","tt1142977,tt0408236,tt0121164,tt0099487"
"Mission: Impossible","$45,436,830",3012,"tt0060009","tvSeries","Mission: Impossible",FALSE,1966,NA,"Action,Adventure,Crime","nm0046172,nm0186305,nm0469957,nm0441914,nm0394873,nm0554169,nm0822570,nm0610303,nm0739987,nm0801883,nm0738180,nm0325476,nm0900972,nm0020765,nm0562388,nm0159007,nm0468609,nm0070807,nm0458033,nm0641400,nm0353785,nm0200022,nm0869427,nm0065596,nm0340981,nm0364749,nm0548965,nm0202297,nm0001888,nm0591142,nm0678928,nm0784198,nm0282644,nm0724504,nm0125111,nm0271708,nm0321143,nm0450314,nm0337545,nm0730265,nm0909098,nm0072561,nm0336335,nm0568228,nm0723629",NA,NA,NA
"Mad Max: Fury Road","$45,428,128",3702,"tt13803362","tvEpisode","Mad Max: Fury Road",FALSE,2020,NA,"Comedy","nm7366921","Anthony J. Smith","actor,director,producer","tt12824924,tt4872782,tt9568112,tt4730328"
"The Meg","$45,402,195",4118,"tt10091850","tvEpisode","The Meg",FALSE,2019,NA,"Comedy","\N",NA,NA,NA
"Ghost Rider","$45,388,836",3619,"tt0190183","tvSeries","Ghost Rider",FALSE,1999,NA,"Action,Adventure,Sci-Fi","\N",NA,NA,NA
"American Pie 2","$45,117,985",3063,"tt0252866","movie","American Pie 2",FALSE,2001,108,"Comedy","nm0736930","J.B. Rogers","assistant_director,producer,director","tt0129387,tt0116778,tt6966692,tt0163651"
"300: Rise of an Empire","$45,038,460",3470,"tt1253863","movie","300: Rise of an Empire",FALSE,2014,102,"Action,Drama,War","nm1729171","Noam Murro","director,producer","tt5670764,tt1253863,tt0858479"
"Horton Hears a Who!","$45,012,998",3954,"tt0198545","tvMovie","Horton Hears a Who!",FALSE,1970,26,"Adventure,Animation,Comedy","nm0005062,nm0913326",NA,NA,NA
"The Hangover","$44,979,319",3269,"tt0156591","short","The Hangover",FALSE,1931,9,"Short","nm0533073","Roy Mack","director,writer,miscellaneous","tt1511479,tt0022302,tt2289212,tt1548813"
"National Treasure: Book of Secrets","$44,783,772",3832,"tt0465234","movie","National Treasure: Book of Secrets",FALSE,2007,124,"Action,Adventure,Mystery","nm0005509","Jon Turteltaub","producer,director,writer","tt0106611,tt0114924,tt0117333,tt0368891"
"Transformers: The Last Knight","$44,680,073",4069,"tt13984614","tvEpisode","Transformers: The Last Knight",FALSE,2020,8,"Documentary","\N",NA,NA,NA
"xXx","$44,506,103",3374,"tt0295701","movie","xXx",FALSE,2002,124,"Action,Adventure,Thriller","nm0003418","Rob Cohen","producer,director,actor","tt0106770,tt0295701,tt0116136,tt0382992"
"Scream VI","$44,447,270",3675,"tt17663992","movie","Scream VI",FALSE,2023,122,"Horror,Mystery,Thriller","nm2366012,nm2419470",NA,NA,NA
"Nope","$44,366,910",3785,"tt0513704","tvEpisode","Nope",FALSE,2000,NA,"Drama","nm0393661","Kevin Hooks","director,producer,actor","tt0105104,tt0455275,tt2172103,tt0093260"
"Alvin and the Chipmunks","$44,307,417",3475,"tt0952640","movie","Alvin and the Chipmunks",FALSE,2007,92,"Adventure,Animation,Comedy","nm0384722","Tim Hill","writer,producer,director","tt0345950,tt0101235,tt0206512,tt0952640"
"The Peanuts Movie","$44,213,073",3897,"tt11253594","tvEpisode","The Peanuts Movie",FALSE,2015,NA,"Animation,Comedy,Family","nm2088529","Dane Boedigheimer","actor,writer,director","tt11225340,tt21295222,tt1715368,tt2114184"
"Hotel Transylvania 3: Summer Vacation","$44,076,225",4267,"tt5220122","movie","Hotel Transylvania 3: Summer Vacation",FALSE,2018,97,"Adventure,Animation,Comedy","nm0850733","Genndy Tartakovsky","producer,writer,director","tt0115157,tt0278238,tt10332508,tt1709198"
"Terminator 3: Rise of the Machines","$44,041,440",3504,"tt0181852","movie","Terminator 3: Rise of the Machines",FALSE,2003,109,"Action,Sci-Fi","nm0609236","Jonathan Mostow","director,producer,writer","tt0118771,tt0986263,tt0141926,tt0181852"
"TRON: Legacy","$44,026,211",3451,"tt1104001","movie","Tron",FALSE,2010,125,"Action,Adventure,Sci-Fi","nm2676052","Joseph Kosinski","director,producer,writer","tt1483013,tt3829920,tt1104001,tt1745960"
"Uncharted","$44,010,155",4275,"tt1057576","movie","Uncharted",FALSE,2009,79,"Horror","nm1459683","Frank Nunez","director,actor,producer","tt0381844,tt0811163,tt1203509,tt1057576"
"Ghostbusters: Afterlife","$44,008,406",4315,"tt16117596","tvEpisode","Ghostbusters: Afterlife",FALSE,2021,NA,"Talk-Show","\N",NA,NA,NA
"Lucy","$43,899,340",3173,"tt0361856","tvMovie","Lucy",FALSE,2003,128,"Biography,Comedy,Drama","nm0429958","Glenn Jordan","director,producer,actor","tt0106356,tt0363319,tt0375390,tt0073992"
"How to Train Your Dragon","$43,732,319",4055,"tt0892769","movie","How to Train Your Dragon",FALSE,2010,98,"Action,Adventure,Animation","nm0213450,nm0761498",NA,NA,NA
"Noah","$43,720,472",3567,"tt0107698","short","Noah",FALSE,1993,11,"Animation,Short","\N",NA,NA,NA
"The Croods","$43,639,736",4046,"tt0481499","movie","The Croods",FALSE,2013,98,"Action,Adventure,Animation","nm0210320,nm0761498",NA,NA,NA
"American Gangster","$43,565,135",3054,"tt0765429","movie","American Gangster",FALSE,2007,157,"Biography,Crime,Drama","nm0000631","Ridley Scott","producer,director,production_designer","tt0083658,tt0103074,tt0172495,tt3659388"
"The Mummy","$43,369,635",3210,"tt0023245","movie","The Mummy",FALSE,1932,73,"Fantasy,Horror","nm0005713","Karl Freund","cinematographer,director,camera_department","tt0023245,tt0040506,tt0017136,tt0028944"
"Hitch","$43,142,214",3575,"tt0191181","short","Hitch",FALSE,2000,18,"Short","nm0336486","Bradley Rust Gray","director,writer,editor","tt0850677,tt1294161,tt0357127,tt11284768"
"A Star Is Born","$42,908,051",3686,"tt0029606","movie","A Star Is Born",FALSE,1937,111,"Drama,Romance","nm0920074,nm0176699,nm0281808",NA,NA,NA
"Batman & Robin","$42,872,605",2934,"tt0118688","movie","Batman & Robin",FALSE,1997,125,"Action,Sci-Fi","nm0001708","Joel Schumacher","director,writer,producer","tt0183649,tt0134273,tt0118688,tt0293508"
"Terminator Salvation","$42,558,390",3530,"tt0438488","movie","Terminator Salvation",FALSE,2009,115,"Action,Adventure,Sci-Fi","nm0629334","McG","producer,miscellaneous,director","tt0305357,tt0438488,tt2172934,tt11024272"
"Hotel Transylvania","$42,522,194",3349,"tt0141207","movie","Hotel Transylvania",TRUE,1990,74,"Adult","nm0211487","Charles Webb","director,producer,cinematographer","tt0135232,tt0125159,tt0132409,tt0131290"
"Nutty Professor II: The Klumps","$42,518,830",3242,"tt0144528","movie","Nutty Professor II: The Klumps",FALSE,2000,106,"Comedy,Romance,Sci-Fi","nm0781842","Peter Segal","director,producer,writer","tt0425061,tt8242084,tt0110622,tt2126357"
"Shrek","$42,347,760",3587,"tt0126029","movie","Shrek",FALSE,2001,90,"Adventure,Animation,Comedy","nm0011470,nm0421776",NA,NA,NA
"Scary Movie","$42,346,669",2912,"tt0138078","movie","Scary Movie",FALSE,1991,82,"Comedy,Horror,Thriller","nm0259032","Daniel Erickson","director,writer,producer","tt0138078,tt1367351,tt18244214,tt0447673"
"Anger Management","$42,220,847",3551,"tt0305224","movie","Anger Management",FALSE,2003,106,"Comedy","nm0781842","Peter Segal","director,producer,writer","tt0425061,tt8242084,tt0110622,tt2126357"
"Fantastic Beasts: The Secrets of Dumbledore","$42,151,256",4208,"tt19388236","tvEpisode","Fantastic Beasts: The Secrets of Dumbledore",FALSE,2022,NA,"Comedy","nm10761255","Teresa Boudreault","director,actress,set_decorator","tt10442000,tt15008626"
"High School Musical 3: Senior Year","$42,030,184",3623,"tt0962726","movie","High School Musical 3: Senior Year",FALSE,2008,112,"Comedy,Drama,Family","nm0650905","Kenny Ortega","director,miscellaneous,producer","tt10183988,tt0962726,tt1592748,tt8022928"
"The Conjuring","$41,855,326",2903,"tt12752124","tvEpisode","The Conjuring",FALSE,2016,NA,"Comedy","\N",NA,NA,NA
"Ready Player One","$41,764,050",4234,"tt13358520","tvEpisode","Ready Player One",FALSE,2018,NA,"Talk-Show","\N",NA,NA,NA
"Ice Age: Dawn of the Dinosaurs","$41,690,382",4099,"tt1080016","movie","Ice Age: Dawn of the Dinosaurs",FALSE,2009,94,"Adventure,Animation,Comedy","nm0862211,nm0757858",NA,NA,NA
"The Hangover Part III","$41,671,198",3555,"tt1951261","movie","The Hangover Part III",FALSE,2013,100,"Comedy,Crime","nm0680846","Todd Phillips","producer,director,writer","tt1231583,tt0302886,tt7286456,tt0215129"
"Ocean's Eight","$41,607,378",4145,"tt5164214","movie","Ocean's Eight",FALSE,2018,110,"Action,Comedy,Crime","nm0002657","Gary Ross","writer,producer,director","tt0094737,tt0329575,tt1392170,tt0120789"
"Big Daddy","$41,536,370",3027,"tt0058968","movie","Big Daddy",FALSE,1969,68,"Adventure,Crime,Drama","nm0386973","Carl K. Hittleman","producer,writer,director","tt0050215,tt0319966,tt0049403,tt0058968"
"Happy Feet","$41,533,432",3804,"tt0366548","movie","Happy Feet",FALSE,2006,108,"Adventure,Animation,Comedy","nm0606688,nm0004306,nm0171253",NA,NA,NA
"Ride Along","$41,516,170",2663,"tt0632206","tvEpisode","Ride Along",FALSE,1997,23,"Comedy","nm0504297","Michael Lessac","director,producer,writer","tt0090533,tt0098745,tt0107148,tt3652554"
"Grown Ups 2","$41,508,572",3491,"tt2191701","movie","Grown Ups 2",FALSE,2013,101,"Comedy","nm0240797","Dennis Dugan","actor,director,producer","tt0960144,tt0077070,tt0142342,tt0116483"
