"name","openinggross","theathers","tconst","titleType","primaryTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"Planet of the Apes","$68,532,960",3500,"tt0063442","movie","Planet of the Apes",FALSE,1968,NA,112,"Adventure,Sci-Fi"
"The Mummy Returns","$68,139,035",3401,"tt0209163","movie","The Mummy Returns",FALSE,2001,NA,130,"Action,Adventure,Fantasy"
"Up","$68,108,790",3766,"tt0088332","short","Up",FALSE,1985,NA,14,"Short"
"Ice Age: The Meltdown","$68,033,544",3964,"tt0438097","movie","Ice Age: The Meltdown",FALSE,2006,NA,91,"Adventure,Animation,Comedy"
"Bruce Almighty","$67,953,330",3483,"tt0315327","movie","Bruce Almighty",FALSE,2003,NA,101,"Comedy,Fantasy"
"Cinderella","$67,877,361",3845,"tt0000181","short","Cinderella",FALSE,1898,NA,NA,"Fantasy,Short"
"Aquaman","$67,873,522",4125,"tt0179647","tvShort","Aquaman",FALSE,1984,NA,21,"Short"
"The Grinch","$67,572,855",4141,"tt0268343","videoGame","The Grinch",FALSE,2000,NA,NA,"Action,Adventure,Fantasy"
"Quantum of Solace","$67,528,882",3451,"tt0830515","movie","Quantum of Solace",FALSE,2008,NA,106,"Action,Adventure,Mystery"
"Rush Hour 2","$67,408,222",3118,"tt0266915","movie","Rush Hour 2",FALSE,2001,NA,90,"Action,Comedy,Crime"
"Fast X","$67,017,410",4046,"tt26293691","tvEpisode","Fast X",FALSE,2023,NA,NA,"Comedy"
"Black Adam","$67,004,323",4402,"tt21882454","tvEpisode","Black Adam",FALSE,2022,NA,NA,"Comedy"
"World War Z","$66,411,834",3607,"tt0816711","movie","World War Z",FALSE,2013,NA,116,"Action,Adventure,Horror"
"Brave","$66,323,594",4164,"tt0109331","movie","Brave",FALSE,1994,NA,58,"Drama,Music"
"Cars 2","$66,135,507",4115,"tt1216475","movie","Cars 2",FALSE,2011,NA,106,"Adventure,Animation,Comedy"
"X-Men: Apocalypse","$65,769,562",4150,"tt12862128","tvEpisode","X-Men: Apocalypse",FALSE,2016,NA,NA,"Talk-Show"
"Thor","$65,723,338",3955,"tt0551428","tvEpisode","Thor",FALSE,2001,NA,28,"Comedy"
"Teenage Mutant Ninja Turtles","$65,575,105",3845,"tt0100758","movie","Teenage Mutant Ninja Turtles",FALSE,1990,NA,93,"Action,Adventure,Comedy"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$65,556,312",3616,"tt0363771","movie","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",FALSE,2005,NA,143,"Adventure,Family,Fantasy"
"2012","$65,237,614",3404,"tt11107498","tvEpisode","2012",FALSE,2012,NA,NA,"Documentary"
"Captain America: The First Avenger","$65,058,524",3715,"tt0458339","movie","Captain America: The First Avenger",FALSE,2011,NA,124,"Action,Adventure,Sci-Fi"
"War of the Worlds","$64,878,725",3908,"tt0094578","tvSeries","War of the Worlds",FALSE,1988,1990,45,"Action,Adventure,Horror"
"The Twilight Saga: Eclipse","$64,832,191",4468,"tt12706420","tvEpisode","The Twilight Saga: Eclipse",FALSE,2014,NA,NA,"Comedy"
"Star Wars: Episode I - The Phantom Menace","$64,820,970",2970,"tt0120915","movie","Star Wars: Episode I - The Phantom Menace",FALSE,1999,NA,136,"Action,Adventure,Fantasy"
"Madagascar: Escape 2 Africa","$63,106,589",4056,"tt0479952","movie","Madagascar: Escape 2 Africa",FALSE,2008,NA,89,"Adventure,Animation,Comedy"
"WALL·E","$63,087,526",3992,"tt0910970","movie","WALL·E",FALSE,2008,NA,98,"Adventure,Animation,Family"
"Pirates of the Caribbean: Dead Men Tell No Tales","$62,983,253",4276,"tt10969806","tvEpisode","Pirates of the Caribbean: Dead Men Tell No Tales",FALSE,2017,NA,NA,"Comedy,Talk-Show"
"Inception","$62,785,337",3792,"tt12427498","tvEpisode","Inception",FALSE,2020,NA,NA,"Comedy"
"Hancock","$62,603,879",3965,"tt0182585","tvSeries","Hancock",FALSE,1963,NA,30,"Comedy"
"Monsters, Inc.","$62,577,067",3237,"tt0198781","movie","Monsters, Inc.",FALSE,2001,NA,92,"Adventure,Animation,Comedy"
"Bad Boys for Life","$62,504,105",3775,"tt11626586","tvEpisode","Bad Boys for Life",FALSE,2020,NA,27,"Comedy,Talk-Show"
"Sherlock Holmes","$62,304,277",3626,"tt0007338","movie","Sherlock Holmes",FALSE,1916,NA,116,"Crime,Mystery"
"Fantastic Beasts: The Crimes of Grindelwald","$62,163,104",4163,"tt13749392","tvEpisode","Fantastic Beasts: The Crimes of Grindelwald",FALSE,2018,NA,28,"Comedy,Talk-Show"
"Hulk","$62,128,420",3660,"tt0206488","tvSeries","Hulk",FALSE,1966,1966,NA,"Action,Animation,Sci-Fi"
"The Lord of the Rings: The Two Towers","$62,007,528",3622,"tt0167261","movie","The Lord of the Rings: The Two Towers",FALSE,2002,NA,179,"Action,Adventure,Drama"
"The Amazing Spider-Man","$62,004,688",4318,"tt0076975","tvSeries","The Amazing Spider-Man",FALSE,1977,1979,60,"Action,Adventure,Crime"
"Mission: Impossible - Fallout","$61,236,534",4386,"tt11023484","tvEpisode","Mission: Impossible - Fallout",FALSE,2018,NA,NA,"Comedy"
"Clash of the Titans","$61,235,105",3777,"tt0082186","movie","Clash of the Titans",FALSE,1981,NA,118,"Action,Adventure,Family"
"Transformers: Rise of the Beasts","$61,045,464",3678,"tt26625794","tvEpisode","Transformers: Rise of the Beasts",FALSE,2023,NA,NA,"Comedy"
"Kong: Skull Island","$61,025,472",3846,"tt10969766","tvEpisode","Kong: Skull Island",FALSE,2017,NA,NA,"Comedy,Talk-Show"
"Indiana Jones and the Dial of Destiny","$60,368,101",4600,"tt1462764","movie","Indiana Jones and the Dial of Destiny",FALSE,2023,NA,154,"Action,Adventure,Sci-Fi"
